magnitudes	AMG_CF_4
NODE_A941_length_1131_cov_11.314991_S10	1186
NODE_B157_length_640_cov_1.310835_S1	679
NODE_A29_length_6585_cov_45.903811_S16	4129
NODE_B23_length_3837_cov_11.337766_S16	3451
NODE_A68_length_3120_cov_676.889911_S16	12056
NODE_B8_length_4011_cov_5.051347_S17	2363
NODE_A999_length_616_cov_6.313544_S17	893
NODE_B1_length_64575_cov_138.535489_S19	8208544
NODE_A3_length_45619_cov_251.714988_S19	50052
NODE_A54_length_2686_cov_150.871215_S19	4243
NODE_B33_length_2586_cov_6.601036_S19	2385
NODE_A139_length_1559_cov_146.941970_S19	1568
NODE_A5_length_18546_cov_100.977313_S20	43152
NODE_B24_length_5416_cov_15.873010_S20	20564
NODE_B27_length_5270_cov_7.320046_S20	4594
NODE_A34_length_4192_cov_346.607047_S20	4473
NODE_A37_length_4120_cov_357.620826_S20	6473
NODE_B34_length_4025_cov_15.176039_S20	4820
NODE_C2_length_3895_cov_4.936092_S20	12231
NODE_B43_length_3260_cov_23.618599_S20	7706
NODE_A55_length_3151_cov_21.711451_S20	5241
NODE_B54_length_2709_cov_27.568769_S20	16881
NODE_A95_length_2322_cov_30.954566_S20	2782
NODE_B72_length_2080_cov_16.048427_S20	7797
NODE_A111_length_2040_cov_10.133979_S20	1663
NODE_B74_length_2031_cov_7.225691_S20	2733
NODE_A121_length_1913_cov_101.602397_S20	3131
NODE_B83_length_1837_cov_6.729545_S20	1214
NODE_B85_length_1792_cov_10.883965_S20	5544
NODE_C17_length_1765_cov_2.888626_S20	3167
NODE_A146_length_1717_cov_34.041463_S20	1191
NODE_A171_length_1563_cov_9.240915_S20	1386
NODE_A212_length_1307_cov_92.869919_S20	1737
NODE_C39_length_1280_cov_4.975894_S20	26730
NODE_B148_length_1044_cov_11.117890_S20	630
NODE_A328_length_917_cov_145.719048_S20	3174
NODE_C234_length_581_cov_1.386905_S20	1308
NODE_B10_length_7015_cov_26.363361_S22	8895
NODE_A442_length_959_cov_5.556689_S22	862
NODE_A1300_length_622_cov_4.506422_S24	463
NODE_A4_length_16303_cov_5324.164859_S2	2079310
NODE_A11_length_9062_cov_40.404674_S2	7243
NODE_A29_length_5312_cov_69.530277_S2	8684
NODE_A38_length_4587_cov_34.697339_S2	4334
NODE_A41_length_4393_cov_35.842910_S2	3383
NODE_A46_length_3884_cov_149.199632_S2	4743
NODE_A51_length_3659_cov_111.343663_S2	10088
NODE_A53_length_3629_cov_35.100507_S2	3637
NODE_A57_length_3339_cov_52.217964_S2	4276
NODE_A61_length_3230_cov_77.230891_S2	5454
NODE_A66_length_3061_cov_30.468834_S2	2160
NODE_A68_length_2930_cov_42.017876_S2	2804
NODE_C8_length_2927_cov_8.227368_S2	24419
NODE_A87_length_2528_cov_137.552428_S2	2853
NODE_A88_length_2499_cov_58.820809_S2	3889
NODE_A100_length_2321_cov_283.680927_S2	6788
NODE_A119_length_2110_cov_62.234137_S2	3176
NODE_A161_length_1748_cov_31.356074_S2	1327
NODE_C16_length_1684_cov_14.721220_S2	11841
NODE_A172_length_1667_cov_32.291824_S2	1249
NODE_A185_length_1608_cov_45.141737_S2	1305
NODE_B116_length_1248_cov_5.852263_S2	1024
NODE_A304_length_1055_cov_82.377301_S2	669
NODE_C78_length_785_cov_1.645480_S2	1175
NODE_C86_length_729_cov_2.365031_S2	742
NODE_C119_length_604_cov_1.561670_S2	580
NODE_C129_length_586_cov_1.155206_S2	452
NODE_B5_length_17739_cov_615.067490_S25	64144
NODE_A29_length_8384_cov_45.376430_S25	28604
NODE_B84_length_1901_cov_4.039474_S25	3726
NODE_C54_length_1094_cov_16.325467_S25	656
NODE_A321_length_904_cov_13.519952_S25	854
NODE_C86_length_771_cov_7.987032_S25	2462
NODE_A2_length_39889_cov_5484.805963_S26	69310
NODE_A7_length_13399_cov_30.329380_S26	17868
NODE_A28_length_5614_cov_28.531876_S26	4301
NODE_A30_length_5070_cov_31.432606_S26	4186
NODE_A35_length_4423_cov_31.806719_S26	20055
NODE_A60_length_2840_cov_48.030040_S26	9300
NODE_B30_length_2499_cov_2.662675_S26	2781
NODE_B38_length_2160_cov_262.644263_S26	5670
NODE_B39_length_2110_cov_4.878997_S26	4976
NODE_A97_length_2093_cov_6.542659_S26	1469
NODE_A152_length_1629_cov_17.713273_S26	2163
NODE_B67_length_1365_cov_3.705745_S26	2721
NODE_A252_length_1095_cov_17.788802_S26	2806
NODE_B100_length_1006_cov_2.438105_S26	1858
NODE_B115_length_907_cov_2.213253_S26	556
NODE_A486_length_656_cov_12.155440_S26	659
NODE_A552_length_593_cov_3.726744_S26	354
NODE_A3_length_19677_cov_37.362653_S30	66237
NODE_A26_length_9796_cov_54.297150_S30	9414
NODE_A68_length_6867_cov_56.467010_S30	25633
NODE_B20_length_3532_cov_7.643126_S30	7015
NODE_B25_length_3329_cov_10.238007_S30	6253
NODE_A401_length_3279_cov_91.173954_S30	12563
NODE_A454_length_3108_cov_50.450346_S30	1973
NODE_A511_length_2944_cov_99.553540_S30	4576
NODE_B75_length_1903_cov_5.745345_S30	9678
NODE_B84_length_1809_cov_5.096998_S30	1712
NODE_A1709_length_1786_cov_55.874195_S30	2982
NODE_B104_length_1675_cov_4.186483_S30	1595
NODE_B231_length_1280_cov_2.603491_S30	1821
