magnitudes	AMG_SW_4
NODE_A1757_length_534_cov_14.929978_S22	598
NODE_A2171_length_555_cov_103.161088_S4	466
NODE_A76_length_751_cov_6.971810_S11	695
NODE_A9_length_6549_cov_16595.860476_S12	14492
NODE_A10_length_3617_cov_26.400000_S1	5205
NODE_B2_length_2621_cov_699.047956_S1	644556
NODE_A61_length_1835_cov_40.876564_S1	1278
NODE_A128_length_1347_cov_68.749606_S1	1143
NODE_A352_length_895_cov_388.638142_S1	71726
NODE_A582_length_740_cov_37.324284_S1	532
NODE_A652_length_705_cov_57.654459_S1	828
NODE_A14_length_5037_cov_276.344758_S17	35572
NODE_A15_length_4994_cov_9189.904007_S17	1187923
NODE_A16_length_4509_cov_33.733078_S17	3813
NODE_A31_length_2446_cov_33.891093_S17	1540
NODE_A43_length_2096_cov_142.252600_S17	7096
NODE_A76_length_1614_cov_43.929083_S17	1314
NODE_A78_length_1608_cov_64.872632_S17	2602
NODE_A89_length_1543_cov_40.897681_S17	1413
NODE_A143_length_1300_cov_28.165985_S17	809
NODE_A192_length_1157_cov_189.795370_S17	5036
NODE_A199_length_1150_cov_991.887232_S17	33567
NODE_B54_length_1094_cov_2.663717_S17	930
NODE_A231_length_1088_cov_46.070227_S17	1172
NODE_A234_length_1086_cov_49.483647_S17	1174
NODE_A253_length_1064_cov_43.312057_S17	1095
NODE_A270_length_1042_cov_28.527461_S17	814
NODE_A339_length_944_cov_26.763552_S17	587
NODE_A365_length_911_cov_42.205036_S17	906
NODE_A366_length_908_cov_32.296029_S17	643
NODE_A372_length_896_cov_35.400488_S17	746
NODE_B86_length_863_cov_68.325700_S17	14609
NODE_A441_length_839_cov_31.423885_S17	600
NODE_A524_length_796_cov_33.492350_S17	614
NODE_B109_length_788_cov_37.596343_S17	6906
NODE_A568_length_771_cov_52.897695_S17	901
NODE_A900_length_643_cov_56.646643_S17	831
NODE_A926_length_636_cov_48.660107_S17	511
NODE_A958_length_627_cov_33.450909_S17	498
NODE_A1087_length_589_cov_31.357422_S17	486
NODE_A1130_length_578_cov_326.333333_S17	4275
NODE_A1131_length_578_cov_32.415170_S17	488
NODE_A1184_length_568_cov_49.150713_S17	664
NODE_A1191_length_567_cov_180.493878_S17	5922
NODE_A1203_length_564_cov_10.036961_S17	1073
NODE_A1231_length_559_cov_64.029046_S17	814
NODE_C81_length_549_cov_1.741525_S17	854
NODE_A1386_length_530_cov_359.044150_S17	8078
NODE_A1479_length_515_cov_406.739726_S17	115699
NODE_C88_length_503_cov_6.723005_S17	10736
NODE_A1585_length_500_cov_55.432624_S17	753
NODE_B1_length_64575_cov_138.535489_S19	645329
NODE_B187_length_792_cov_124.485315_S19	715596
NODE_A8_length_2894_cov_145.499468_S21	3351
NODE_A57_length_1681_cov_101.055486_S21	1165
NODE_A324_length_1078_cov_47.036963_S21	940
NODE_A618_length_891_cov_320.457002_S21	1151
NODE_A2114_length_598_cov_81.798464_S21	1141
NODE_A3343_length_508_cov_71.450116_S21	567
NODE_A1170_length_507_cov_16.065116_S23	74946
NODE_A23_length_3205_cov_47.009591_S24	2859
NODE_A26_length_2830_cov_24.179077_S24	1929
NODE_A28_length_2784_cov_36.273365_S24	2059
NODE_A129_length_1380_cov_47.116654_S24	916
NODE_A138_length_1349_cov_83.693396_S24	1187
NODE_A175_length_1208_cov_96.792219_S24	734
NODE_A206_length_1148_cov_67.285714_S24	1250
NODE_A229_length_1104_cov_141.014606_S24	2374
NODE_A320_length_1001_cov_38.922078_S24	746
NODE_A375_length_954_cov_91.954390_S24	1215
NODE_A463_length_883_cov_93.440447_S24	940
NODE_A478_length_876_cov_54.478098_S24	904
NODE_A493_length_866_cov_352.841572_S24	5157
NODE_A495_length_863_cov_150.343511_S24	1964
NODE_A508_length_858_cov_50.536492_S24	535
NODE_A540_length_839_cov_45.486877_S24	771
NODE_A552_length_832_cov_54.929801_S24	721
NODE_A559_length_830_cov_39.042497_S24	538
NODE_A613_length_808_cov_131.240766_S24	1893
NODE_A634_length_795_cov_2649.444290_S24	31939
NODE_A747_length_752_cov_75.964444_S24	1774
NODE_A761_length_747_cov_137.786567_S24	1092
NODE_A764_length_746_cov_211.426009_S24	3366
NODE_A817_length_731_cov_88.659021_S24	961
NODE_A828_length_727_cov_706.195385_S24	9784
NODE_A892_length_710_cov_398.102686_S24	7539
NODE_A983_length_691_cov_71.167752_S24	765
NODE_A1046_length_675_cov_279.295987_S24	2826
NODE_A1212_length_637_cov_61.076786_S24	1375
NODE_A1221_length_635_cov_69.317204_S24	426
NODE_A1226_length_634_cov_78.152603_S24	744
NODE_A1433_length_599_cov_76.620690_S24	648
NODE_A1472_length_595_cov_70.083012_S24	413
NODE_A1484_length_594_cov_2237.137331_S24	5564
NODE_A1485_length_594_cov_65.864603_S24	639
NODE_A1547_length_585_cov_1958.177165_S24	25249
NODE_A1603_length_578_cov_190.283433_S24	6022
NODE_A1624_length_575_cov_5482.096386_S24	45078
NODE_A1674_length_568_cov_310.529532_S24	2955
NODE_A1680_length_567_cov_62.273469_S24	580
NODE_A1760_length_557_cov_638.477083_S24	8100
NODE_A1783_length_554_cov_420.840671_S24	6213
NODE_A2265_length_506_cov_168.687646_S24	1587
NODE_B5_length_17739_cov_615.067490_S25	18490
NODE_A17_length_15349_cov_1246.287323_S25	237695
NODE_A549_length_693_cov_12.087662_S25	4396
NODE_A4_length_2806_cov_29365.524368_S27	2924116
NODE_A1970_length_531_cov_14.887665_S27	7686
NODE_B1851_length_608_cov_3.261770_S30	948
NODE_B89_length_704_cov_2.194577_S34	555
NODE_B18_length_1832_cov_8.486040_S37	9295
NODE_A376_length_842_cov_35.700654_S37	46313
NODE_A515_length_759_cov_50.677419_S37	807
NODE_A600_length_722_cov_82.603101_S37	794
NODE_A763_length_654_cov_53.767764_S37	482
NODE_C43_length_650_cov_2.312391_S37	17801
NODE_A1022_length_584_cov_79.867850_S37	648
NODE_A3840_length_1022_cov_20.626455_S38	3603
NODE_A28_length_2369_cov_47.458551_S41	8108
NODE_A73_length_1632_cov_114.691961_S41	4667
NODE_A91_length_1519_cov_35.300971_S41	1093
NODE_A94_length_1496_cov_26.122622_S41	1156
NODE_A128_length_1304_cov_30.172779_S41	1444
NODE_A158_length_1198_cov_34.428189_S41	917
NODE_A176_length_1162_cov_34.857143_S41	1031
NODE_A177_length_1153_cov_23.789963_S41	837
NODE_A190_length_1117_cov_121.125962_S41	2053
NODE_A197_length_1101_cov_239.723633_S41	4006
NODE_A233_length_1025_cov_492.495781_S41	6754
NODE_A273_length_941_cov_41.432870_S41	1948
NODE_A295_length_910_cov_34.290516_S41	746
NODE_A304_length_899_cov_91.795620_S41	3473
NODE_A308_length_898_cov_29.973203_S41	726
NODE_A310_length_895_cov_78.333741_S41	885
NODE_B59_length_875_cov_6.721805_S41	1320
NODE_A386_length_811_cov_720.818801_S41	14706
NODE_A391_length_805_cov_325.836538_S41	4351
NODE_A404_length_792_cov_1120.946853_S41	22183
NODE_A442_length_758_cov_46.186490_S41	1151
NODE_A532_length_706_cov_58.321145_S41	511
NODE_A567_length_688_cov_17.374795_S41	462
NODE_B160_length_616_cov_12.790353_S41	2455
NODE_A781_length_607_cov_153.971698_S41	1602
NODE_C66_length_588_cov_2.234834_S41	1181
