magnitudes	AMG_CF_6
NODE_B2_length_2621_cov_699.047956_S1	561309
NODE_A128_length_1347_cov_68.749606_S1	900
NODE_A352_length_895_cov_388.638142_S1	79198
NODE_A582_length_740_cov_37.324284_S1	873
NODE_A652_length_705_cov_57.654459_S1	808
NODE_A15_length_4994_cov_9189.904007_S17	779302
NODE_A43_length_2096_cov_142.252600_S17	3434
NODE_A78_length_1608_cov_64.872632_S17	4960
NODE_A192_length_1157_cov_189.795370_S17	4635
NODE_A199_length_1150_cov_991.887232_S17	75729
NODE_A204_length_1134_cov_19.892148_S17	963
NODE_A231_length_1088_cov_46.070227_S17	967
NODE_A234_length_1086_cov_49.483647_S17	1332
NODE_A253_length_1064_cov_43.312057_S17	1068
NODE_A302_length_994_cov_15.892039_S17	742
NODE_A365_length_911_cov_42.205036_S17	625
NODE_B86_length_863_cov_68.325700_S17	22733
NODE_A435_length_843_cov_17.453003_S17	1349
NODE_A441_length_839_cov_31.423885_S17	922
NODE_A524_length_796_cov_33.492350_S17	502
NODE_B109_length_788_cov_37.596343_S17	8767
NODE_A568_length_771_cov_52.897695_S17	1069
NODE_A837_length_661_cov_14.075342_S17	414
NODE_A900_length_643_cov_56.646643_S17	1086
NODE_A958_length_627_cov_33.450909_S17	410
NODE_A1087_length_589_cov_31.357422_S17	478
NODE_A1130_length_578_cov_326.333333_S17	2550
NODE_A1131_length_578_cov_32.415170_S17	407
NODE_A1184_length_568_cov_49.150713_S17	692
NODE_A1191_length_567_cov_180.493878_S17	2783
NODE_A1203_length_564_cov_10.036961_S17	1201
NODE_A1231_length_559_cov_64.029046_S17	603
NODE_A1303_length_545_cov_26.008547_S17	366
NODE_A1386_length_530_cov_359.044150_S17	10350
NODE_A1479_length_515_cov_406.739726_S17	131717
NODE_C88_length_503_cov_6.723005_S17	13689
NODE_A1585_length_500_cov_55.432624_S17	615
NODE_B1_length_64575_cov_138.535489_S19	522583
NODE_B187_length_792_cov_124.485315_S19	666222
NODE_A618_length_891_cov_320.457002_S21	1201
NODE_A1810_length_632_cov_36.225225_S21	422
NODE_A2114_length_598_cov_81.798464_S21	906
NODE_A2279_length_581_cov_80.902778_S21	412
NODE_A3343_length_508_cov_71.450116_S21	413
NODE_A1170_length_507_cov_16.065116_S23	63039
NODE_A23_length_3205_cov_47.009591_S24	1892
NODE_A129_length_1380_cov_47.116654_S24	1058
NODE_A138_length_1349_cov_83.693396_S24	1329
NODE_A175_length_1208_cov_96.792219_S24	1420
NODE_A206_length_1148_cov_67.285714_S24	704
NODE_A229_length_1104_cov_141.014606_S24	2023
NODE_A375_length_954_cov_91.954390_S24	1106
NODE_A463_length_883_cov_93.440447_S24	1103
NODE_A478_length_876_cov_54.478098_S24	730
NODE_A493_length_866_cov_352.841572_S24	5793
NODE_A495_length_863_cov_150.343511_S24	1878
NODE_A508_length_858_cov_50.536492_S24	900
NODE_A540_length_839_cov_45.486877_S24	729
NODE_A552_length_832_cov_54.929801_S24	540
NODE_A559_length_830_cov_39.042497_S24	547
NODE_A613_length_808_cov_131.240766_S24	2203
NODE_B151_length_808_cov_1.994528_S24	857
NODE_A634_length_795_cov_2649.444290_S24	39527
NODE_A747_length_752_cov_75.964444_S24	1521
NODE_A761_length_747_cov_137.786567_S24	1421
NODE_A764_length_746_cov_211.426009_S24	4401
NODE_A817_length_731_cov_88.659021_S24	1324
NODE_A828_length_727_cov_706.195385_S24	9496
NODE_A892_length_710_cov_398.102686_S24	5864
NODE_A983_length_691_cov_71.167752_S24	940
NODE_A1046_length_675_cov_279.295987_S24	1443
NODE_A1163_length_647_cov_121.824561_S24	600
NODE_A1212_length_637_cov_61.076786_S24	1283
NODE_A1221_length_635_cov_69.317204_S24	596
NODE_A1226_length_634_cov_78.152603_S24	909
NODE_A1433_length_599_cov_76.620690_S24	863
NODE_A1472_length_595_cov_70.083012_S24	414
NODE_A1484_length_594_cov_2237.137331_S24	8009
NODE_A1485_length_594_cov_65.864603_S24	728
NODE_A1547_length_585_cov_1958.177165_S24	36530
NODE_A1603_length_578_cov_190.283433_S24	6523
NODE_A1624_length_575_cov_5482.096386_S24	44482
NODE_A1674_length_568_cov_310.529532_S24	2247
NODE_A1680_length_567_cov_62.273469_S24	645
NODE_A1760_length_557_cov_638.477083_S24	5316
NODE_A1783_length_554_cov_420.840671_S24	4152
NODE_A2119_length_519_cov_24.298643_S24	351
