magnitudes	CF6_6
NODE_A1061_length_664_cov_16.683135_S36	736
NODE_A1574_length_595_cov_8.347490_S36	1174
NODE_A2529_length_532_cov_2.329670_S36	1159
NODE_A319_length_981_cov_19.066372_S46	1957
NODE_A317_length_895_cov_11.193154_S48	771
NODE_A618_length_725_cov_3.149691_S48	963
NODE_A1418_length_698_cov_49.049919_NC2	907
NODE_A3669_length_728_cov_5.947773_S10	1410
NODE_A4925_length_657_cov_2.708621_S10	2375
NODE_A5718_length_624_cov_3.678245_S10	744
NODE_A454_length_1334_cov_9.430390_S12	9504
NODE_A4233_length_715_cov_5.294671_S12	1813
NODE_A4323_length_711_cov_6.821767_S12	2121
NODE_A4982_length_683_cov_5.716172_S12	19377
NODE_A9762_length_557_cov_8.162500_S12	18750
NODE_A11745_length_526_cov_2.396437_S12	1334
NODE_A12463_length_515_cov_6.698630_S12	4184
NODE_A919_length_794_cov_9.357043_S21	9241
NODE_A2049_length_527_cov_4.740000_S27	569
NODE_A751_length_793_cov_92.645251_S28	2373
NODE_A462_length_736_cov_124.878604_S29	961
NODE_A1_length_7125_cov_22.407350_S36	4856
NODE_A3_length_5195_cov_22.987495_S36	3737
NODE_A5_length_4864_cov_33.330896_S36	4272
NODE_A6_length_4848_cov_28.494655_S36	3770
NODE_B1_length_4690_cov_31.564925_S36	49954
NODE_A11_length_4224_cov_24.256812_S36	2765
NODE_A13_length_4155_cov_22.756989_S36	2740
NODE_A17_length_3650_cov_24.317660_S36	2470
NODE_A19_length_3522_cov_25.634543_S36	2315
NODE_A20_length_3518_cov_21.977913_S36	2296
NODE_A23_length_3359_cov_26.701402_S36	2674
NODE_A25_length_3335_cov_23.222529_S36	2203
NODE_A30_length_3207_cov_36.271246_S36	2911
NODE_A32_length_3160_cov_53.051898_S36	2608
NODE_A36_length_3001_cov_53.215800_S36	3941
NODE_B2_length_2957_cov_6.518750_S36	8603
NODE_A40_length_2946_cov_26.633322_S36	2665
NODE_A43_length_2833_cov_41.973512_S36	2438
NODE_A49_length_2735_cov_46.199774_S36	4242
NODE_B4_length_2671_cov_5.296453_S36	9054
NODE_A50_length_2649_cov_25.902411_S36	1877
NODE_A51_length_2636_cov_38.402892_S36	2459
NODE_B5_length_2620_cov_6.508848_S36	5050
NODE_A53_length_2573_cov_24.982772_S36	1926
NODE_A57_length_2500_cov_28.113908_S36	2194
NODE_A61_length_2292_cov_44.745372_S36	7329
NODE_A63_length_2280_cov_22.028597_S36	1555
NODE_A65_length_2248_cov_27.491479_S36	1664
NODE_A69_length_2222_cov_42.142657_S36	3253
NODE_A72_length_2192_cov_24.324823_S36	1736
NODE_A73_length_2187_cov_27.032227_S36	1877
NODE_A77_length_2147_cov_33.106280_S36	2302
NODE_A79_length_2133_cov_35.032588_S36	3148
NODE_A84_length_2107_cov_54.383744_S36	2260
NODE_A87_length_2078_cov_61.612694_S36	3658
NODE_A93_length_2050_cov_38.176381_S36	3630
NODE_A97_length_2018_cov_38.079856_S36	1996
NODE_A98_length_2018_cov_14.201443_S36	3749
NODE_A100_length_2000_cov_25.357774_S36	1545
NODE_A101_length_1994_cov_53.145018_S36	6776
NODE_A102_length_1975_cov_19.870390_S36	1332
NODE_A103_length_1963_cov_17.472959_S36	1404
NODE_A110_length_1908_cov_33.232660_S36	2048
NODE_B7_length_1905_cov_13.714989_S36	12108
NODE_A113_length_1893_cov_48.610132_S36	1459
NODE_A115_length_1885_cov_270.537058_S36	7696
NODE_A117_length_1856_cov_30.287802_S36	1271
NODE_A118_length_1849_cov_12.870767_S36	1344
NODE_A119_length_1848_cov_28.049689_S36	1615
NODE_A121_length_1820_cov_33.228342_S36	3156
NODE_A125_length_1797_cov_30.052907_S36	3968
NODE_A135_length_1709_cov_23.204044_S36	1296
NODE_A136_length_1696_cov_25.465102_S36	1245
NODE_A137_length_1690_cov_28.419715_S36	1521
NODE_A138_length_1688_cov_25.634389_S36	1125
NODE_A143_length_1643_cov_30.888250_S36	1291
NODE_A144_length_1634_cov_23.229287_S36	1089
NODE_A147_length_1629_cov_38.889175_S36	1661
NODE_A151_length_1620_cov_40.005185_S36	4390
NODE_A157_length_1599_cov_16.858739_S36	2357
NODE_A159_length_1578_cov_24.052632_S36	1138
NODE_A163_length_1560_cov_18.798382_S36	2774
NODE_A168_length_1552_cov_13.764746_S36	1100
NODE_A169_length_1543_cov_25.682128_S36	1080
NODE_B18_length_1542_cov_5.285324_S36	1339
NODE_A172_length_1527_cov_20.713793_S36	1116
NODE_A176_length_1511_cov_25.940028_S36	1174
NODE_B21_length_1501_cov_5.698034_S36	3879
NODE_A183_length_1470_cov_19.796841_S36	1308
NODE_B23_length_1462_cov_14.457040_S36	12985
NODE_A193_length_1419_cov_14.190015_S36	1341
NODE_A200_length_1390_cov_13.709063_S36	1402
NODE_A201_length_1386_cov_30.773109_S36	2774
NODE_B27_length_1386_cov_8.336134_S36	4870
NODE_A202_length_1383_cov_7.454824_S36	1217
NODE_B29_length_1378_cov_9.348194_S36	4582
NODE_B30_length_1376_cov_5.065435_S36	4328
NODE_A204_length_1368_cov_25.627421_S36	2450
NODE_A208_length_1362_cov_24.684825_S36	1006
NODE_A210_length_1358_cov_17.132709_S36	2816
NODE_A212_length_1348_cov_17.678993_S36	1750
NODE_A213_length_1346_cov_44.043341_S36	2818
NODE_A216_length_1343_cov_28.981043_S36	1112
NODE_A218_length_1332_cov_36.776096_S36	1144
NODE_A219_length_1329_cov_25.384984_S36	922
NODE_A221_length_1325_cov_22.772436_S36	1212
NODE_B33_length_1320_cov_6.999195_S36	4831
NODE_A226_length_1308_cov_34.504468_S36	3220
NODE_A229_length_1304_cov_26.207009_S36	2436
NODE_B38_length_1293_cov_4.248355_S36	836
NODE_A235_length_1286_cov_12.405294_S36	2119
NODE_A237_length_1278_cov_24.641965_S36	1477
NODE_A241_length_1262_cov_43.169620_S36	1632
NODE_A243_length_1250_cov_28.306905_S36	904
NODE_B47_length_1233_cov_3.252595_S36	2600
NODE_A248_length_1231_cov_16.779029_S36	944
NODE_A254_length_1223_cov_17.776614_S36	1243
NODE_B49_length_1218_cov_9.488168_S36	16450
NODE_B50_length_1211_cov_4.742504_S36	3130
NODE_A259_length_1204_cov_15.296362_S36	2317
NODE_A263_length_1201_cov_17.405694_S36	1218
NODE_A270_length_1193_cov_19.938172_S36	1230
NODE_B55_length_1185_cov_7.419675_S36	4812
NODE_A284_length_1167_cov_5.457798_S36	1312
NODE_A285_length_1165_cov_7.844669_S36	1037
NODE_A287_length_1161_cov_14.331181_S36	2275
NODE_A290_length_1151_cov_22.548417_S36	2691
NODE_A294_length_1145_cov_24.098315_S36	869
NODE_A296_length_1139_cov_9.631827_S36	1854
NODE_A297_length_1138_cov_29.211122_S36	4608
NODE_A299_length_1134_cov_106.676443_S36	3007
NODE_A304_length_1126_cov_16.401335_S36	1201
NODE_A305_length_1126_cov_12.768351_S36	1646
NODE_A319_length_1096_cov_13.386654_S36	1730
NODE_A322_length_1093_cov_18.112205_S36	1499
NODE_A323_length_1089_cov_55.154150_S36	1874
NODE_A325_length_1086_cov_7.747275_S36	1593
NODE_A329_length_1072_cov_17.737688_S36	1887
NODE_B74_length_1068_cov_15.250252_S36	9631
NODE_A334_length_1065_cov_34.634615_S36	967
NODE_A338_length_1058_cov_44.862385_S36	765
NODE_B76_length_1044_cov_6.229576_S36	4764
NODE_A345_length_1043_cov_21.876812_S36	1228
NODE_A347_length_1041_cov_12.109959_S36	2372
NODE_A348_length_1040_cov_43.196262_S36	1496
NODE_A350_length_1036_cov_5.676747_S36	1023
NODE_A351_length_1035_cov_41.791232_S36	1333
NODE_B79_length_1028_cov_8.471083_S36	4990
NODE_A360_length_1020_cov_16.566278_S36	726
NODE_A362_length_1019_cov_23.833333_S36	955
NODE_A365_length_1013_cov_27.804487_S36	2272
NODE_A367_length_1012_cov_18.065241_S36	654
NODE_A370_length_1009_cov_5.719957_S36	1126
NODE_B81_length_1008_cov_6.533835_S36	4905
NODE_B82_length_1007_cov_6.770968_S36	4920
NODE_A373_length_1003_cov_35.322894_S36	984
NODE_A374_length_1002_cov_17.360000_S36	2093
NODE_A376_length_1001_cov_8.940476_S36	889
NODE_A377_length_999_cov_60.587852_S36	731
NODE_B87_length_995_cov_14.251634_S36	9758
NODE_B89_length_993_cov_15.056769_S36	42219
NODE_A385_length_983_cov_18.558499_S36	1077
NODE_A394_length_974_cov_9.888517_S36	1291
NODE_B97_length_964_cov_3.313416_S36	1875
NODE_B101_length_962_cov_10.079096_S36	2848
NODE_A402_length_960_cov_5.657984_S36	995
NODE_A406_length_957_cov_7.506818_S36	752
NODE_B103_length_956_cov_3.937429_S36	3581
NODE_A407_length_954_cov_5.019384_S36	5522
NODE_A408_length_953_cov_5.130137_S36	3404
NODE_B104_length_953_cov_3.014840_S36	1887
NODE_B105_length_953_cov_2.778539_S36	1271
NODE_A415_length_942_cov_30.522543_S36	2055
NODE_B111_length_942_cov_4.790751_S36	2786
NODE_A416_length_941_cov_12.069444_S36	1626
NODE_A428_length_933_cov_8.186916_S36	1016
NODE_B113_length_933_cov_3.407710_S36	1144
