magnitudes	HG_CF_4
NODE_A1757_length_534_cov_14.929978_S22	10843
NODE_A378_length_798_cov_9.447989_S27	4748
NODE_A934_length_632_cov_9.378378_S27	493
NODE_A1147_length_601_cov_27.276718_S27	716
NODE_A1446_length_568_cov_35.081466_S27	1072
NODE_A2477_length_504_cov_15.344262_S27	602
NODE_A1867_length_517_cov_22.622727_S34	630
NODE_A4982_length_519_cov_1.463801_S44	2788
NODE_A5050_length_515_cov_23.543379_S44	4942
NODE_A1381_length_646_cov_17.216169_S4	1108
NODE_A1735_length_597_cov_5.013462_S4	1088
NODE_A2171_length_555_cov_103.161088_S4	12358
NODE_A444_length_1404_cov_5.184627_S10	1321
NODE_A19_length_1534_cov_14.082361_S11	9383
NODE_B19_length_625_cov_6.516423_S11	1364
NODE_A137_length_589_cov_5.250000_S11	1413
NODE_A146_length_565_cov_16.950820_S11	1506
NODE_B34_length_548_cov_1.709130_S11	986
NODE_B40_length_512_cov_0.406897_S11	1167
NODE_A68_length_3013_cov_29.559264_S14	8894
NODE_B9_length_2604_cov_11.339137_S14	20572
NODE_A974_length_1299_cov_8.486088_S14	1508
NODE_A1217_length_1206_cov_13.857396_S14	1793
NODE_A1537_length_1103_cov_10.220273_S14	1034
NODE_A1735_length_1047_cov_18.426804_S14	4775
NODE_A3539_length_769_cov_3.086705_S14	3719
NODE_A3781_length_745_cov_5.261976_S14	790
NODE_A3858_length_739_cov_35.663142_S14	3306
NODE_B173_length_706_cov_8.637520_S14	1513
NODE_B190_length_697_cov_2.395161_S14	822
NODE_A4810_length_668_cov_6.142132_S14	779
NODE_B270_length_642_cov_2.941593_S14	1546
NODE_A6891_length_561_cov_4.142562_S14	817
NODE_A10_length_3617_cov_26.400000_S1	110806
NODE_A1060_length_573_cov_5.639113_S1	841
NODE_B264_length_514_cov_3.569794_S1	1803
NODE_A68_length_3120_cov_676.889911_S16	3024
NODE_A14_length_5037_cov_276.344758_S17	10176
NODE_A15_length_4994_cov_9189.904007_S17	107151
NODE_A1422_length_525_cov_2.337054_S17	1749
NODE_B1_length_64575_cov_138.535489_S19	750254
NODE_A3_length_45619_cov_251.714988_S19	72909
NODE_B33_length_2586_cov_6.601036_S19	2182
NODE_B187_length_792_cov_124.485315_S19	7144
NODE_B24_length_5416_cov_15.873010_S20	3270
NODE_A34_length_4192_cov_346.607047_S20	2873
NODE_C39_length_1280_cov_4.975894_S20	1022
NODE_A257_length_1091_cov_6.318540_S20	4523
NODE_B183_length_871_cov_4.904282_S20	2748
NODE_A385_length_826_cov_9.622163_S20	1118
NODE_A440_length_730_cov_6.811639_S20	868
NODE_A640_length_569_cov_4.473577_S20	1006
NODE_A723_length_526_cov_18.670379_S20	5531
NODE_A951_length_785_cov_36.752825_S21	1996
NODE_A1137_length_741_cov_18.149096_S21	2169
NODE_B548_length_647_cov_4.787719_S21	8820
NODE_B576_length_638_cov_1.957219_S21	738
NODE_B756_length_582_cov_1.687129_S21	2146
NODE_B872_length_556_cov_1.691023_S21	1629
NODE_A2639_length_553_cov_23.176471_S21	658
NODE_A2817_length_541_cov_10.627155_S21	1081
NODE_A2939_length_532_cov_5.569231_S21	1214
NODE_A3060_length_523_cov_10.410314_S21	2905
NODE_A3133_length_519_cov_10.898190_S21	488
NODE_B106_length_932_cov_1.679532_S22	652
NODE_B178_length_798_cov_8.732316_S22	3377
NODE_A760_length_744_cov_11.317841_S22	870
NODE_B272_length_668_cov_0.976311_S22	913
NODE_A1126_length_625_cov_82.600365_S22	1763
NODE_B348_length_606_cov_10.052930_S22	3061
NODE_A1279_length_596_cov_10.720617_S22	625
NODE_A1359_length_583_cov_4.371542_S22	801
NODE_A1488_length_565_cov_4.266393_S22	712
NODE_A1726_length_539_cov_3.266234_S22	554
NODE_A1882_length_521_cov_7.763514_S22	444
NODE_B539_length_515_cov_6.582192_S22	5182
NODE_B556_length_509_cov_6.122685_S22	3685
NODE_A2014_length_508_cov_27.069606_S22	2602
NODE_A2062_length_505_cov_7.934579_S22	848
NODE_A163_length_1286_cov_13.190240_S23	839
NODE_A752_length_751_cov_3.537092_S24	1620
NODE_A1036_length_678_cov_3.081531_S24	3869
NODE_A1445_length_599_cov_2.411877_S24	1266
NODE_B5_length_17739_cov_615.067490_S25	29138
NODE_A17_length_15349_cov_1246.287323_S25	114724
NODE_A29_length_8384_cov_45.376430_S25	5595
NODE_A178_length_1222_cov_13.122271_S25	16746
NODE_A682_length_624_cov_19.893967_S25	1917
NODE_A846_length_561_cov_9.923554_S25	3354
NODE_B38_length_2160_cov_262.644263_S26	1288
NODE_A566_length_579_cov_2.629482_S26	1619
NODE_A575_length_571_cov_9.121457_S26	2043
NODE_A612_length_546_cov_1.963753_S26	910
NODE_B245_length_537_cov_1.732609_S26	3175
NODE_A4_length_2806_cov_29365.524368_S27	27451
NODE_B5_length_1769_cov_33.682624_S27	6715
NODE_A64_length_1223_cov_31.004363_S27	1502
NODE_A109_length_1078_cov_10.336663_S27	1331
NODE_B28_length_962_cov_15.966102_S27	4624
NODE_A227_length_913_cov_22.061005_S27	1458
NODE_A612_length_696_cov_222.373183_S27	1156
NODE_B95_length_677_cov_2.971667_S27	1411
NODE_C5_length_663_cov_0.585324_S27	778
NODE_A757_length_662_cov_24.905983_S27	742
NODE_B107_length_661_cov_5.794521_S27	6407
NODE_B110_length_655_cov_7.634948_S27	785
NODE_B113_length_653_cov_2.508681_S27	996
NODE_A872_length_642_cov_9.099115_S27	1293
NODE_A925_length_633_cov_54.372302_S27	786
NODE_A1214_length_594_cov_32.754352_S27	2367
NODE_A1370_length_575_cov_8.983936_S27	1046
NODE_A1484_length_565_cov_10.495902_S27	1273
NODE_A1619_length_553_cov_25.079832_S27	657
NODE_A1636_length_552_cov_9.757895_S27	613
NODE_B236_length_549_cov_3.896186_S27	632
NODE_A1795_length_541_cov_12.984914_S27	753
NODE_A1913_length_534_cov_12.129103_S27	906
NODE_B259_length_534_cov_12.096280_S27	1079
NODE_A1945_length_532_cov_80.492308_S27	528
NODE_A2040_length_527_cov_20.184444_S27	629
NODE_A2041_length_527_cov_14.957778_S27	3003
NODE_A2048_length_527_cov_4.900000_S27	3650
NODE_A2328_length_511_cov_17.347926_S27	604
NODE_A4_length_18319_cov_29.709078_S30	14513
NODE_A5_length_17677_cov_28.209489_S30	13196
NODE_A6_length_16844_cov_78.008111_S30	33644
NODE_A10_length_14165_cov_123.344832_S30	37827
NODE_A12_length_13178_cov_49.748645_S30	15847
NODE_A13_length_12763_cov_56.923459_S30	18237
NODE_A14_length_12672_cov_25.168241_S30	8921
NODE_A16_length_12620_cov_26.336443_S30	8747
NODE_A17_length_12403_cov_26.137190_S30	8110
NODE_A19_length_11790_cov_25.368053_S30	7602
NODE_A20_length_11432_cov_34.124439_S30	10709
NODE_A25_length_9911_cov_26.574741_S30	7051
NODE_A26_length_9796_cov_54.297150_S30	10457
NODE_A27_length_9609_cov_33.565254_S30	8990
NODE_A29_length_9513_cov_30.204854_S30	7991
NODE_A31_length_9083_cov_36.512103_S30	8925
NODE_A36_length_8440_cov_31.995337_S30	6472
NODE_A38_length_8307_cov_23.401215_S30	4964
NODE_A39_length_8232_cov_27.356101_S30	6300
NODE_A40_length_8185_cov_33.894302_S30	7001
NODE_A41_length_8056_cov_23.281489_S30	5150
NODE_A46_length_7605_cov_23.425478_S30	4700
NODE_A48_length_7504_cov_27.305642_S30	5783
NODE_A49_length_7488_cov_23.493591_S30	4676
NODE_A51_length_7278_cov_27.776698_S30	5540
NODE_A54_length_7210_cov_27.072760_S30	5228
NODE_A55_length_7174_cov_24.539524_S30	4855
NODE_A57_length_7160_cov_30.558520_S30	5652
NODE_A59_length_7105_cov_27.550655_S30	5128
NODE_A60_length_7089_cov_29.747433_S30	5729
NODE_B5_length_6976_cov_17.132338_S30	32162
NODE_B6_length_6928_cov_9.888629_S30	9762
NODE_A65_length_6876_cov_24.544345_S30	4658
NODE_A67_length_6869_cov_28.534894_S30	5360
NODE_A68_length_6867_cov_56.467010_S30	4586
NODE_A71_length_6787_cov_28.234426_S30	5142
NODE_A73_length_6694_cov_26.674475_S30	4467
NODE_A75_length_6569_cov_21.093192_S30	4004
NODE_A77_length_6467_cov_25.725822_S30	4323
NODE_A81_length_6309_cov_48.175385_S30	7926
NODE_A89_length_6190_cov_31.857517_S30	5474
NODE_A90_length_6185_cov_26.686640_S30	4298
NODE_A92_length_6117_cov_36.868377_S30	5945
NODE_A94_length_6056_cov_27.081284_S30	4379
NODE_A96_length_5967_cov_26.427674_S30	3746
NODE_A98_length_5944_cov_32.759332_S30	4901
NODE_A99_length_5898_cov_27.363340_S30	4314
NODE_A101_length_5856_cov_37.319432_S30	5799
NODE_A102_length_5847_cov_21.668804_S30	3690
NODE_A106_length_5799_cov_32.436036_S30	3888
NODE_A107_length_5782_cov_22.402103_S30	3711
NODE_A108_length_5761_cov_25.747537_S30	3778
NODE_A117_length_5553_cov_25.333455_S30	3858
NODE_A119_length_5523_cov_24.447301_S30	3393
NODE_A120_length_5486_cov_25.588833_S30	3583
NODE_A121_length_5476_cov_22.013891_S30	3394
NODE_A124_length_5470_cov_42.199518_S30	6097
NODE_A129_length_5417_cov_37.813483_S30	5601
NODE_A134_length_5325_cov_23.784108_S30	3602
NODE_A136_length_5299_cov_24.823248_S30	3739
NODE_A138_length_5296_cov_25.629048_S30	4019
NODE_A141_length_5249_cov_36.387471_S30	5033
NODE_A143_length_5242_cov_23.340174_S30	3507
NODE_A146_length_5200_cov_41.453445_S30	5486
NODE_A148_length_5181_cov_24.486285_S30	3827
NODE_A149_length_5161_cov_26.277734_S30	3890
NODE_A150_length_5101_cov_30.938495_S30	4007
NODE_A152_length_5094_cov_28.736895_S30	3608
NODE_A153_length_5070_cov_23.457641_S30	3257
NODE_A156_length_5003_cov_36.383272_S30	5022
NODE_A160_length_4972_cov_27.261696_S30	3712
NODE_A165_length_4876_cov_23.893936_S30	3369
NODE_A166_length_4872_cov_134.405839_S30	15835
NODE_A170_length_4816_cov_27.409369_S30	3399
NODE_A173_length_4796_cov_30.888324_S30	3485
NODE_A174_length_4791_cov_22.100127_S30	3063
NODE_A176_length_4775_cov_77.192422_S30	9750
NODE_A185_length_4680_cov_26.225505_S30	3205
NODE_A190_length_4596_cov_31.173711_S30	3440
NODE_A191_length_4596_cov_25.434388_S30	2883
NODE_A207_length_4422_cov_83.169850_S30	6073
NODE_A214_length_4367_cov_48.766200_S30	5458
NODE_A217_length_4354_cov_41.827683_S30	12807
NODE_A221_length_4303_cov_25.969711_S30	2914
NODE_A222_length_4296_cov_40.135814_S30	3745
NODE_A227_length_4238_cov_23.980053_S30	2646
NODE_A236_length_4193_cov_23.216229_S30	2959
NODE_A239_length_4177_cov_29.941220_S30	3172
NODE_A243_length_4169_cov_28.455279_S30	3181
NODE_A245_length_4135_cov_26.089946_S30	2779
NODE_A247_length_4121_cov_40.157765_S30	4282
NODE_A250_length_4077_cov_27.787750_S30	3244
NODE_A256_length_4001_cov_23.235474_S30	2848
NODE_A262_length_3973_cov_25.584446_S30	2732
NODE_A265_length_3954_cov_28.291462_S30	3073
NODE_A266_length_3951_cov_25.615385_S30	2491
NODE_A270_length_3928_cov_32.231628_S30	3179
NODE_A271_length_3916_cov_24.559521_S30	2736
NODE_A273_length_3912_cov_27.561147_S30	2748
NODE_A276_length_3878_cov_23.530650_S30	2534
NODE_A277_length_3877_cov_28.401053_S30	3105
NODE_A281_length_3820_cov_24.802832_S30	2762
NODE_A284_length_3804_cov_37.855380_S30	3406
NODE_A285_length_3799_cov_26.089737_S30	2654
NODE_B17_length_3763_cov_5.595768_S30	5881
NODE_A295_length_3747_cov_26.988011_S30	2615
NODE_A297_length_3741_cov_31.076419_S30	3011
NODE_A298_length_3740_cov_24.278733_S30	2294
NODE_A303_length_3691_cov_24.717488_S30	2461
NODE_A304_length_3690_cov_26.790479_S30	2733
NODE_A306_length_3683_cov_36.059346_S30	3119
NODE_B20_length_3532_cov_7.643126_S30	3267
NODE_A333_length_3521_cov_24.321138_S30	2226
NODE_A334_length_3520_cov_32.646529_S30	2949
