magnitudes	HG_SW_5
NODE_A1635_length_547_cov_66.070213_S22	7662
NODE_A1757_length_534_cov_14.929978_S22	14503
NODE_A378_length_798_cov_9.447989_S27	21824
NODE_A604_length_700_cov_31.409310_S27	2178
NODE_A934_length_632_cov_9.378378_S27	1898
NODE_A1147_length_601_cov_27.276718_S27	3476
NODE_A1446_length_568_cov_35.081466_S27	4720
NODE_A1767_length_544_cov_4.430407_S27	835
NODE_A2477_length_504_cov_15.344262_S27	2512
NODE_A1867_length_517_cov_22.622727_S34	1339
NODE_A3757_length_583_cov_7.901186_S44	602
NODE_A4982_length_519_cov_1.463801_S44	14881
NODE_A5050_length_515_cov_23.543379_S44	2573
NODE_A1381_length_646_cov_17.216169_S4	6263
NODE_A1735_length_597_cov_5.013462_S4	3576
NODE_A2171_length_555_cov_103.161088_S4	6247
NODE_A1543_length_558_cov_1.118503_S47	669
NODE_A19_length_1534_cov_14.082361_S11	25220
NODE_A107_length_651_cov_1.857143_S11	2055
NODE_B19_length_625_cov_6.516423_S11	3486
NODE_A137_length_589_cov_5.250000_S11	6109
NODE_A146_length_565_cov_16.950820_S11	6141
NODE_B34_length_548_cov_1.709130_S11	1884
NODE_B40_length_512_cov_0.406897_S11	2276
NODE_A30_length_2043_cov_4249.867752_S13	2516
NODE_A68_length_3013_cov_29.559264_S14	19266
NODE_B9_length_2604_cov_11.339137_S14	92287
NODE_A587_length_1565_cov_17.155914_S14	1034
NODE_A906_length_1330_cov_206.529130_S14	3287
NODE_A974_length_1299_cov_8.486088_S14	4203
NODE_A1142_length_1235_cov_7.848014_S14	749
NODE_A1217_length_1206_cov_13.857396_S14	3530
NODE_A1537_length_1103_cov_10.220273_S14	2934
NODE_A1735_length_1047_cov_18.426804_S14	12063
NODE_A2364_length_924_cov_11.092090_S14	579
NODE_A3781_length_745_cov_5.261976_S14	1950
NODE_A3858_length_739_cov_35.663142_S14	12094
NODE_B173_length_706_cov_8.637520_S14	4334
NODE_B190_length_697_cov_2.395161_S14	1151
NODE_A4483_length_691_cov_9.553746_S14	761
NODE_A4810_length_668_cov_6.142132_S14	1764
NODE_B262_length_646_cov_1.820738_S14	1733
NODE_B270_length_642_cov_2.941593_S14	5548
NODE_A6199_length_591_cov_17.455253_S14	365
NODE_B390_length_584_cov_0.775148_S14	429
NODE_B399_length_579_cov_0.990040_S14	946
NODE_A6519_length_577_cov_2.226000_S14	952
NODE_A6811_length_565_cov_2.129098_S14	535
NODE_A6891_length_561_cov_4.142562_S14	1661
NODE_A7853_length_527_cov_3.417778_S14	390
NODE_A8345_length_510_cov_5.741339_S14	727
NODE_A10_length_3617_cov_26.400000_S1	502260
NODE_B2_length_2621_cov_699.047956_S1	41517
NODE_A870_length_621_cov_2.272059_S1	667
NODE_A952_length_597_cov_0.628846_S1	1550
NODE_A1060_length_573_cov_5.639113_S1	4078
NODE_B264_length_514_cov_3.569794_S1	6070
NODE_A14_length_5037_cov_276.344758_S17	34799
NODE_A15_length_4994_cov_9189.904007_S17	121494
NODE_B221_length_562_cov_1.140206_S17	821
NODE_A1422_length_525_cov_2.337054_S17	3693
NODE_B187_length_792_cov_124.485315_S19	24903
NODE_A257_length_1091_cov_6.318540_S20	15113
NODE_B183_length_871_cov_4.904282_S20	7939
NODE_A385_length_826_cov_9.622163_S20	5166
NODE_A440_length_730_cov_6.811639_S20	1905
NODE_A640_length_569_cov_4.473577_S20	2648
NODE_A723_length_526_cov_18.670379_S20	15636
NODE_A761_length_512_cov_3.986207_S20	1721
NODE_A564_length_918_cov_27.208086_S21	1036
NODE_A718_length_850_cov_32.564036_S21	599
NODE_A951_length_785_cov_36.752825_S21	4580
NODE_A1137_length_741_cov_18.149096_S21	7998
NODE_A1353_length_697_cov_19.238710_S21	709
NODE_B548_length_647_cov_4.787719_S21	49149
NODE_B576_length_638_cov_1.957219_S21	1046
NODE_A1878_length_627_cov_9.789091_S21	1775
NODE_B677_length_605_cov_1.984848_S21	697
NODE_B756_length_582_cov_1.687129_S21	6460
NODE_A2281_length_581_cov_32.371032_S21	2227
NODE_A2320_length_578_cov_17.253493_S21	1152
NODE_A2393_length_572_cov_32.123232_S21	413
NODE_B872_length_556_cov_1.691023_S21	5634
NODE_A2639_length_553_cov_23.176471_S21	1611
NODE_A2817_length_541_cov_10.627155_S21	2146
NODE_A2919_length_533_cov_2.739035_S21	827
NODE_A2939_length_532_cov_5.569231_S21	1759
NODE_A3060_length_523_cov_10.410314_S21	6639
NODE_A3084_length_521_cov_22.822072_S21	860
