magnitudes	Hae6
NODE_A1635_length_547_cov_66.070213_S22	42388
NODE_A1757_length_534_cov_14.929978_S22	52801
NODE_A378_length_798_cov_9.447989_S27	17728
NODE_A604_length_700_cov_31.409310_S27	1854
NODE_A934_length_632_cov_9.378378_S27	1945
NODE_A1147_length_601_cov_27.276718_S27	3181
NODE_A1446_length_568_cov_35.081466_S27	4186
NODE_A2477_length_504_cov_15.344262_S27	3504
NODE_B344_length_502_cov_4.362353_S27	597
NODE_A1867_length_517_cov_22.622727_S34	1205
NODE_A4982_length_519_cov_1.463801_S44	10448
NODE_A5050_length_515_cov_23.543379_S44	16065
NODE_A1381_length_646_cov_17.216169_S4	6121
NODE_A1407_length_643_cov_8.911661_S4	731
NODE_A1735_length_597_cov_5.013462_S4	5475
NODE_A2171_length_555_cov_103.161088_S4	21526
NODE_A1543_length_558_cov_1.118503_S47	850
NODE_A939_length_1132_cov_6.543128_S10	679
NODE_A3816_length_718_cov_405.985959_S10	632
NODE_A19_length_1534_cov_14.082361_S11	9471
NODE_A107_length_651_cov_1.857143_S11	595
NODE_A137_length_589_cov_5.250000_S11	1251
NODE_A146_length_565_cov_16.950820_S11	1275
NODE_B34_length_548_cov_1.709130_S11	583
NODE_A68_length_3013_cov_29.559264_S14	7679
NODE_B9_length_2604_cov_11.339137_S14	15198
NODE_A974_length_1299_cov_8.486088_S14	1552
NODE_A1217_length_1206_cov_13.857396_S14	1470
NODE_A1537_length_1103_cov_10.220273_S14	1616
NODE_A1735_length_1047_cov_18.426804_S14	5103
NODE_A3781_length_745_cov_5.261976_S14	1095
NODE_A3858_length_739_cov_35.663142_S14	4966
NODE_B173_length_706_cov_8.637520_S14	1746
NODE_B190_length_697_cov_2.395161_S14	723
NODE_A4483_length_691_cov_9.553746_S14	689
NODE_A4810_length_668_cov_6.142132_S14	1196
NODE_B270_length_642_cov_2.941593_S14	1841
NODE_B399_length_579_cov_0.990040_S14	562
NODE_A6891_length_561_cov_4.142562_S14	790
NODE_A8345_length_510_cov_5.741339_S14	594
NODE_A10_length_3617_cov_26.400000_S1	73754
NODE_A870_length_621_cov_2.272059_S1	511
NODE_A1060_length_573_cov_5.639113_S1	1231
NODE_B264_length_514_cov_3.569794_S1	1467
NODE_A1409_length_512_cov_6.289655_S1	506
NODE_A14_length_5037_cov_276.344758_S17	15654
NODE_A15_length_4994_cov_9189.904007_S17	23815
NODE_A1422_length_525_cov_2.337054_S17	1151
NODE_B1_length_64575_cov_138.535489_S19	106961
NODE_B187_length_792_cov_124.485315_S19	20982
NODE_A249_length_1116_cov_30.071222_S20	1215
NODE_A257_length_1091_cov_6.318540_S20	3847
NODE_B183_length_871_cov_4.904282_S20	2821
NODE_A385_length_826_cov_9.622163_S20	973
NODE_A440_length_730_cov_6.811639_S20	1185
NODE_A640_length_569_cov_4.473577_S20	818
NODE_A723_length_526_cov_18.670379_S20	3272
NODE_A62_length_1627_cov_18.900000_S21	1657
NODE_A951_length_785_cov_36.752825_S21	1549
NODE_B548_length_647_cov_4.787719_S21	7133
NODE_B756_length_582_cov_1.687129_S21	1810
NODE_B872_length_556_cov_1.691023_S21	2204
NODE_A2639_length_553_cov_23.176471_S21	724
NODE_A2817_length_541_cov_10.627155_S21	813
NODE_A3060_length_523_cov_10.410314_S21	1809
NODE_A3084_length_521_cov_22.822072_S21	703
NODE_B106_length_932_cov_1.679532_S22	735
NODE_B178_length_798_cov_8.732316_S22	3767
NODE_A760_length_744_cov_11.317841_S22	1090
NODE_A1034_length_647_cov_22.885965_S22	1547
NODE_B348_length_606_cov_10.052930_S22	2089
NODE_A1279_length_596_cov_10.720617_S22	530
NODE_A1337_length_587_cov_5.447059_S22	2356
NODE_A1359_length_583_cov_4.371542_S22	3502
NODE_A1488_length_565_cov_4.266393_S22	735
NODE_A1566_length_555_cov_14.558577_S22	494
NODE_B536_length_516_cov_3.189066_S22	499
NODE_B539_length_515_cov_6.582192_S22	6799
NODE_B556_length_509_cov_6.122685_S22	6006
NODE_A2014_length_508_cov_27.069606_S22	3000
NODE_A2062_length_505_cov_7.934579_S22	896
NODE_A752_length_751_cov_3.537092_S24	1806
NODE_A1036_length_678_cov_3.081531_S24	3874
NODE_A1445_length_599_cov_2.411877_S24	1333
NODE_A178_length_1222_cov_13.122271_S25	13858
NODE_A682_length_624_cov_19.893967_S25	1759
NODE_A842_length_562_cov_5.140206_S25	843
NODE_A566_length_579_cov_2.629482_S26	3322
NODE_A575_length_571_cov_9.121457_S26	1419
NODE_A612_length_546_cov_1.963753_S26	1073
NODE_B245_length_537_cov_1.732609_S26	1934
NODE_A4_length_2806_cov_29365.524368_S27	85630
NODE_B5_length_1769_cov_33.682624_S27	5696
NODE_A43_length_1357_cov_49.135937_S27	1524
NODE_A64_length_1223_cov_31.004363_S27	6574
NODE_A109_length_1078_cov_10.336663_S27	1079
NODE_B28_length_962_cov_15.966102_S27	3220
NODE_A227_length_913_cov_22.061005_S27	2696
NODE_A370_length_803_cov_11.593664_S27	731
NODE_A450_length_756_cov_11.756996_S27	884
NODE_A612_length_696_cov_222.373183_S27	1581
NODE_B95_length_677_cov_2.971667_S27	2054
NODE_C5_length_663_cov_0.585324_S27	757
NODE_A757_length_662_cov_24.905983_S27	852
NODE_B107_length_661_cov_5.794521_S27	6939
NODE_B110_length_655_cov_7.634948_S27	1286
NODE_B113_length_653_cov_2.508681_S27	1248
NODE_A872_length_642_cov_9.099115_S27	1135
NODE_A925_length_633_cov_54.372302_S27	834
NODE_A1214_length_594_cov_32.754352_S27	2323
NODE_A1370_length_575_cov_8.983936_S27	972
NODE_B197_length_574_cov_0.845070_S27	469
NODE_A1484_length_565_cov_10.495902_S27	777
NODE_A1619_length_553_cov_25.079832_S27	646
NODE_B236_length_549_cov_3.896186_S27	992
NODE_A1839_length_538_cov_17.310195_S27	471
NODE_A1867_length_536_cov_16.244009_S27	715
NODE_A1913_length_534_cov_12.129103_S27	1286
NODE_B259_length_534_cov_12.096280_S27	853
NODE_A2040_length_527_cov_20.184444_S27	445
NODE_A2041_length_527_cov_14.957778_S27	1742
NODE_A2048_length_527_cov_4.900000_S27	3769
NODE_A2328_length_511_cov_17.347926_S27	625
NODE_A217_length_4354_cov_41.827683_S30	17087
NODE_A396_length_3294_cov_37.682002_S30	7730
NODE_A740_length_2540_cov_30.229801_S30	3899
NODE_A843_length_2403_cov_23.261393_S30	1996
NODE_B117_length_1627_cov_38.383226_S30	5075
NODE_A2230_length_1582_cov_38.398007_S30	2089
NODE_A3055_length_1381_cov_19.690184_S30	1414
NODE_B324_length_1146_cov_24.715622_S30	5458
NODE_A5009_length_1091_cov_14.744576_S30	1561
NODE_A5787_length_1020_cov_13.089077_S30	1688
NODE_B455_length_1010_cov_3.448017_S30	1096
NODE_A8007_length_859_cov_21.570332_S30	708
NODE_A10067_length_756_cov_14.103093_S30	860
NODE_A10946_length_721_cov_5.829193_S30	1018
NODE_B1439_length_667_cov_2.803390_S30	701
NODE_B1844_length_609_cov_4.674812_S30	1377
NODE_B1851_length_608_cov_3.261770_S30	2910
NODE_A14633_length_605_cov_11.333333_S30	781
NODE_A17034_length_552_cov_31.951579_S30	503
NODE_A17496_length_543_cov_19.789700_S30	475
NODE_C108_length_529_cov_0.703540_S30	556
NODE_B225_length_548_cov_0.738854_S33	5143
NODE_A150_length_1248_cov_28.818958_S34	12262
NODE_A157_length_1229_cov_15.807292_S34	1811
NODE_A258_length_968_cov_2.797980_S34	853
NODE_A347_length_850_cov_8.554981_S34	824
NODE_B64_length_804_cov_1.617607_S34	3126
NODE_B89_length_704_cov_2.194577_S34	2450
NODE_A948_length_620_cov_5.795580_S34	1529
NODE_A1474_length_548_cov_3.624204_S34	1053
NODE_A1627_length_536_cov_3.418301_S34	743
NODE_A1768_length_525_cov_5.167411_S34	526
NODE_A1871_length_517_cov_5.336364_S34	523
NODE_B208_length_502_cov_0.663529_S34	360
NODE_A255_length_974_cov_6.739130_S37	8754
NODE_A1252_length_542_cov_2.208602_S37	1077
NODE_B248_length_527_cov_0.757778_S37	1496
NODE_A1043_length_1779_cov_21.535840_S38	1498
NODE_B92_length_1454_cov_4.329702_S38	933
NODE_A2813_length_1174_cov_19.981768_S38	733
NODE_A3418_length_1078_cov_9.739261_S38	878
NODE_A27_length_3481_cov_93.207109_S42	29658
NODE_A60_length_1805_cov_17.223380_S42	3012
NODE_A75_length_1524_cov_33.284727_S42	2295
NODE_A146_length_1032_cov_20.401047_S42	1314
NODE_B128_length_682_cov_0.834711_S42	639
NODE_A299_length_669_cov_13.069257_S42	1574
NODE_A436_length_559_cov_4.031120_S42	886
NODE_B174_length_554_cov_1.639413_S42	1891
NODE_A456_length_550_cov_23.118393_S42	595
NODE_B184_length_539_cov_1.329004_S42	842
NODE_A496_length_529_cov_29.893805_S42	1815
NODE_A512_length_522_cov_19.750562_S42	354
NODE_A225_length_1160_cov_5.741459_S43	2453
NODE_A434_length_695_cov_35.163430_S43	1736
NODE_A476_length_653_cov_0.909722_S43	749
NODE_A685_length_524_cov_2.297539_S43	806
NODE_A11_length_4493_cov_30.246150_S44	7525
NODE_B12_length_4427_cov_19.298161_S44	23676
NODE_A13_length_4398_cov_37.690812_S44	6799
NODE_A26_length_3423_cov_34.191273_S44	5334
NODE_A38_length_2762_cov_50.316946_S44	4376
NODE_A305_length_1382_cov_17.423755_S44	3963
NODE_B107_length_971_cov_2.695749_S44	896
NODE_C25_length_858_cov_6.763124_S44	2442
NODE_A1348_length_856_cov_11.942234_S44	1591
NODE_A1959_length_749_cov_5.059524_S44	2531
NODE_B165_length_749_cov_17.587798_S44	3305
NODE_A2285_length_712_cov_89.149606_S44	958
NODE_B177_length_710_cov_8.804107_S44	990
NODE_B204_length_660_cov_5.794168_S44	1278
NODE_C49_length_634_cov_9.766607_S44	4504
NODE_B249_length_609_cov_19.800752_S44	1421
NODE_C55_length_590_cov_1.157895_S44	667
NODE_A3883_length_575_cov_9.598394_S44	530
NODE_A4230_length_553_cov_24.039916_S44	450
NODE_A4926_length_521_cov_4.022523_S44	479
NODE_C70_length_518_cov_6.414966_S44	1750
NODE_A5432_length_500_cov_3.406619_S44	5956
