magnitudes	Hae_CF
NODE_A1757_length_534_cov_14.929978_S22	90389
NODE_A378_length_798_cov_9.447989_S27	26162
NODE_A604_length_700_cov_31.409310_S27	3304
NODE_A934_length_632_cov_9.378378_S27	3443
NODE_A1147_length_601_cov_27.276718_S27	6991
NODE_A1446_length_568_cov_35.081466_S27	6815
NODE_A1767_length_544_cov_4.430407_S27	922
NODE_A2477_length_504_cov_15.344262_S27	4499
NODE_B344_length_502_cov_4.362353_S27	1590
NODE_A1867_length_517_cov_22.622727_S34	1364
NODE_A4982_length_519_cov_1.463801_S44	15721
NODE_A5050_length_515_cov_23.543379_S44	19164
NODE_A1381_length_646_cov_17.216169_S4	8794
NODE_A1735_length_597_cov_5.013462_S4	8183
NODE_A2171_length_555_cov_103.161088_S4	39105
NODE_A19_length_1534_cov_14.082361_S11	17864
NODE_B19_length_625_cov_6.516423_S11	1867
NODE_A137_length_589_cov_5.250000_S11	893
NODE_A146_length_565_cov_16.950820_S11	1226
NODE_B34_length_548_cov_1.709130_S11	1389
NODE_A207_length_504_cov_3.721311_S11	364
NODE_A9604_length_560_cov_37.973085_S12	352
NODE_A68_length_3013_cov_29.559264_S14	7937
NODE_B9_length_2604_cov_11.339137_S14	15097
NODE_A974_length_1299_cov_8.486088_S14	1598
NODE_A1217_length_1206_cov_13.857396_S14	1670
NODE_A1537_length_1103_cov_10.220273_S14	1929
NODE_A1735_length_1047_cov_18.426804_S14	10137
NODE_A3781_length_745_cov_5.261976_S14	1008
NODE_A3858_length_739_cov_35.663142_S14	5240
NODE_B173_length_706_cov_8.637520_S14	1798
NODE_B190_length_697_cov_2.395161_S14	1009
NODE_A4483_length_691_cov_9.553746_S14	694
NODE_A4810_length_668_cov_6.142132_S14	1311
NODE_B270_length_642_cov_2.941593_S14	1726
NODE_B399_length_579_cov_0.990040_S14	618
NODE_A6891_length_561_cov_4.142562_S14	1026
NODE_B526_length_537_cov_0.554348_S14	1578
NODE_A10_length_3617_cov_26.400000_S1	76902
NODE_A870_length_621_cov_2.272059_S1	565
NODE_A1060_length_573_cov_5.639113_S1	1017
NODE_B264_length_514_cov_3.569794_S1	1786
NODE_A14_length_5037_cov_276.344758_S17	11481
NODE_A15_length_4994_cov_9189.904007_S17	507807
NODE_B243_length_535_cov_1.620087_S17	624
NODE_A1422_length_525_cov_2.337054_S17	1272
NODE_B187_length_792_cov_124.485315_S19	1032610
NODE_A257_length_1091_cov_6.318540_S20	4719
NODE_B183_length_871_cov_4.904282_S20	3452
NODE_A385_length_826_cov_9.622163_S20	812
NODE_A440_length_730_cov_6.811639_S20	1449
NODE_A640_length_569_cov_4.473577_S20	807
NODE_A723_length_526_cov_18.670379_S20	3844
NODE_A951_length_785_cov_36.752825_S21	1841
NODE_B548_length_647_cov_4.787719_S21	5890
NODE_B576_length_638_cov_1.957219_S21	720
NODE_B756_length_582_cov_1.687129_S21	2365
NODE_B872_length_556_cov_1.691023_S21	2005
NODE_A2639_length_553_cov_23.176471_S21	579
NODE_A2817_length_541_cov_10.627155_S21	1089
NODE_A2939_length_532_cov_5.569231_S21	1108
NODE_A3060_length_523_cov_10.410314_S21	3418
NODE_A3133_length_519_cov_10.898190_S21	544
NODE_A3311_length_510_cov_8.642032_S21	564
NODE_A310_length_1109_cov_20.919574_S22	828
NODE_B178_length_798_cov_8.732316_S22	4248
NODE_A760_length_744_cov_11.317841_S22	834
NODE_A1097_length_633_cov_7.359712_S22	506
NODE_B348_length_606_cov_10.052930_S22	2760
NODE_A1279_length_596_cov_10.720617_S22	770
NODE_A1330_length_588_cov_9.058708_S22	534
NODE_A1337_length_587_cov_5.447059_S22	4927
NODE_A1359_length_583_cov_4.371542_S22	7101
NODE_A1488_length_565_cov_4.266393_S22	1174
NODE_A1882_length_521_cov_7.763514_S22	563
NODE_B536_length_516_cov_3.189066_S22	556
NODE_B539_length_515_cov_6.582192_S22	12612
NODE_B556_length_509_cov_6.122685_S22	10241
NODE_A2014_length_508_cov_27.069606_S22	5294
NODE_A2062_length_505_cov_7.934579_S22	1570
NODE_A752_length_751_cov_3.537092_S24	2238
NODE_A1036_length_678_cov_3.081531_S24	3951
NODE_A1445_length_599_cov_2.411877_S24	1004
NODE_A178_length_1222_cov_13.122271_S25	11475
NODE_A682_length_624_cov_19.893967_S25	2569
NODE_A1020_length_519_cov_9.809955_S25	1212
NODE_A566_length_579_cov_2.629482_S26	2932
NODE_A575_length_571_cov_9.121457_S26	1545
NODE_A612_length_546_cov_1.963753_S26	911
NODE_B245_length_537_cov_1.732609_S26	2422
NODE_A4_length_2806_cov_29365.524368_S27	1418335
NODE_B5_length_1769_cov_33.682624_S27	7228
NODE_A43_length_1357_cov_49.135937_S27	2534
NODE_A64_length_1223_cov_31.004363_S27	10556
NODE_A66_length_1208_cov_37.508400_S27	942
NODE_A94_length_1106_cov_33.071914_S27	744
NODE_A109_length_1078_cov_10.336663_S27	1908
NODE_A139_length_1024_cov_44.593453_S27	899
NODE_A140_length_1022_cov_25.614815_S27	1040
NODE_A152_length_1004_cov_30.701187_S27	610
NODE_B28_length_962_cov_15.966102_S27	4309
NODE_A198_length_945_cov_33.542627_S27	679
NODE_A227_length_913_cov_22.061005_S27	2227
NODE_A256_length_876_cov_41.111389_S27	1005
NODE_A289_length_853_cov_8.734536_S27	1057
NODE_A360_length_810_cov_24.698499_S27	569
NODE_B53_length_796_cov_6.859527_S27	1223
NODE_A388_length_790_cov_28.701262_S27	537
NODE_A450_length_756_cov_11.756996_S27	1444
NODE_A463_length_748_cov_31.184799_S27	456
NODE_A464_length_747_cov_17.829851_S27	2273
NODE_A556_length_715_cov_12.830721_S27	797
NODE_A578_length_709_cov_14.068038_S27	2403
NODE_A584_length_707_cov_29.923810_S27	413
NODE_A612_length_696_cov_222.373183_S27	1892
NODE_A682_length_680_cov_10.991708_S27	714
