magnitudes	Hae_SW
NODE_A1757_length_534_cov_14.929978_S22	65862
NODE_A378_length_798_cov_9.447989_S27	14807
NODE_A604_length_700_cov_31.409310_S27	1905
NODE_A934_length_632_cov_9.378378_S27	2178
NODE_A1147_length_601_cov_27.276718_S27	5097
NODE_A1446_length_568_cov_35.081466_S27	4484
NODE_A2477_length_504_cov_15.344262_S27	3000
NODE_B344_length_502_cov_4.362353_S27	453
NODE_A1867_length_517_cov_22.622727_S34	1160
NODE_A4982_length_519_cov_1.463801_S44	9837
NODE_A5050_length_515_cov_23.543379_S44	11025
NODE_A1381_length_646_cov_17.216169_S4	6529
NODE_A1735_length_597_cov_5.013462_S4	6301
NODE_A2171_length_555_cov_103.161088_S4	19634
NODE_A1543_length_558_cov_1.118503_S47	1341
NODE_A19_length_1534_cov_14.082361_S11	11461
NODE_A137_length_589_cov_5.250000_S11	750
NODE_A146_length_565_cov_16.950820_S11	829
NODE_B34_length_548_cov_1.709130_S11	501
NODE_A9_length_6549_cov_16595.860476_S12	13304
NODE_A68_length_3013_cov_29.559264_S14	6058
NODE_B9_length_2604_cov_11.339137_S14	11440
NODE_A974_length_1299_cov_8.486088_S14	1119
NODE_A1217_length_1206_cov_13.857396_S14	1217
NODE_A1537_length_1103_cov_10.220273_S14	1203
NODE_A1735_length_1047_cov_18.426804_S14	7755
NODE_A3781_length_745_cov_5.261976_S14	746
NODE_A3858_length_739_cov_35.663142_S14	3607
NODE_B173_length_706_cov_8.637520_S14	1746
NODE_B190_length_697_cov_2.395161_S14	575
NODE_A4810_length_668_cov_6.142132_S14	685
NODE_B270_length_642_cov_2.941593_S14	1924
NODE_A6891_length_561_cov_4.142562_S14	702
NODE_A10_length_3617_cov_26.400000_S1	57944
NODE_B2_length_2621_cov_699.047956_S1	218097
NODE_A1060_length_573_cov_5.639113_S1	969
NODE_B264_length_514_cov_3.569794_S1	988
NODE_A14_length_5037_cov_276.344758_S17	9847
NODE_A15_length_4994_cov_9189.904007_S17	242301
NODE_B8_length_4011_cov_5.051347_S17	5117
NODE_A1422_length_525_cov_2.337054_S17	845
NODE_B1_length_64575_cov_138.535489_S19	306205
NODE_B187_length_792_cov_124.485315_S19	672264
NODE_B52_length_2833_cov_8.209361_S20	2177
NODE_A257_length_1091_cov_6.318540_S20	2758
NODE_B183_length_871_cov_4.904282_S20	2177
NODE_A385_length_826_cov_9.622163_S20	681
NODE_A440_length_730_cov_6.811639_S20	785
NODE_A640_length_569_cov_4.473577_S20	795
NODE_A723_length_526_cov_18.670379_S20	2543
NODE_A1137_length_741_cov_18.149096_S21	1060
NODE_B548_length_647_cov_4.787719_S21	4790
NODE_B756_length_582_cov_1.687129_S21	1381
NODE_A2817_length_541_cov_10.627155_S21	643
NODE_A3060_length_523_cov_10.410314_S21	1538
NODE_A3133_length_519_cov_10.898190_S21	485
NODE_A3_length_17763_cov_102.609069_S22	37629
NODE_A4_length_15760_cov_123.519097_S22	42197
NODE_B8_length_7629_cov_10.178628_S22	12995
NODE_A11_length_7129_cov_88.518151_S22	6888
NODE_B10_length_7015_cov_26.363361_S22	13561
NODE_A16_length_5589_cov_37.025399_S22	4536
NODE_A17_length_5184_cov_58.893088_S22	5252
NODE_A19_length_5074_cov_29.320192_S22	3241
NODE_B12_length_4423_cov_6.095030_S22	4092
NODE_A24_length_4412_cov_28.054210_S22	2925
NODE_A28_length_3993_cov_64.958376_S22	5475
NODE_A32_length_3814_cov_26.995451_S22	2299
NODE_B14_length_3369_cov_8.688639_S22	3542
NODE_A38_length_3291_cov_33.633479_S22	2345
NODE_B17_length_2686_cov_3.765044_S22	1736
NODE_A77_length_2134_cov_37.584832_S22	1627
NODE_A94_length_1957_cov_41.408511_S22	1689
NODE_A123_length_1692_cov_81.333127_S22	2896
NODE_A145_length_1558_cov_47.330182_S22	1665
NODE_A151_length_1539_cov_42.722298_S22	1342
NODE_B47_length_1414_cov_4.253553_S22	1215
NODE_A216_length_1291_cov_47.856672_S22	1301
NODE_A226_length_1265_cov_35.452862_S22	1019
NODE_A242_length_1236_cov_35.964625_S22	943
NODE_A325_length_1092_cov_30.427586_S22	790
NODE_A424_length_971_cov_41.671141_S22	1038
NODE_A472_length_940_cov_75.295481_S22	1673
NODE_B106_length_932_cov_1.679532_S22	749
NODE_A498_length_917_cov_31.560714_S22	548
NODE_A546_length_882_cov_37.833540_S22	697
NODE_B131_length_882_cov_3.165217_S22	600
NODE_B178_length_798_cov_8.732316_S22	3905
NODE_A702_length_776_cov_29.749642_S22	436
NODE_A731_length_762_cov_30.407299_S22	447
NODE_A741_length_759_cov_76.929619_S22	1238
NODE_A760_length_744_cov_11.317841_S22	1008
NODE_B227_length_729_cov_1.596626_S22	505
NODE_A827_length_715_cov_34.366771_S22	516
NODE_A858_length_706_cov_59.747218_S22	830
NODE_B252_length_692_cov_3.330081_S22	685
NODE_B263_length_678_cov_3.158070_S22	555
NODE_B272_length_668_cov_0.976311_S22	995
NODE_A1018_length_653_cov_28.791667_S22	454
NODE_A1034_length_647_cov_22.885965_S22	1391
NODE_B286_length_643_cov_3.051237_S22	403
NODE_A1126_length_625_cov_82.600365_S22	919
NODE_A1166_length_618_cov_42.652495_S22	479
NODE_B333_length_613_cov_3.483209_S22	451
NODE_A1219_length_608_cov_37.222222_S22	478
NODE_A1233_length_606_cov_30.056711_S22	371
NODE_B348_length_606_cov_10.052930_S22	1697
NODE_A1245_length_604_cov_46.869070_S22	565
NODE_A1279_length_596_cov_10.720617_S22	579
NODE_A1337_length_587_cov_5.447059_S22	2673
NODE_A1359_length_583_cov_4.371542_S22	2893
NODE_A1410_length_575_cov_40.220884_S22	474
NODE_A1418_length_574_cov_32.203219_S22	482
NODE_A1488_length_565_cov_4.266393_S22	760
NODE_B446_length_562_cov_3.313402_S22	413
NODE_A1797_length_530_cov_37.772627_S22	475
NODE_B536_length_516_cov_3.189066_S22	512
NODE_B539_length_515_cov_6.582192_S22	9905
NODE_A1959_length_513_cov_36.788991_S22	408
NODE_B545_length_513_cov_3.194954_S22	310
NODE_B556_length_509_cov_6.122685_S22	8469
NODE_A2014_length_508_cov_27.069606_S22	5174
NODE_A2062_length_505_cov_7.934579_S22	1104
NODE_A2109_length_500_cov_33.394799_S22	355
NODE_A752_length_751_cov_3.537092_S24	1834
NODE_A1036_length_678_cov_3.081531_S24	2549
NODE_A1445_length_599_cov_2.411877_S24	1067
