magnitudes	MMG_CF_5
NODE_A127_length_1392_cov_73.758175_NC2	1277
NODE_A555_length_933_cov_87.142523_NC2	700
NODE_A1961_length_614_cov_33.435754_NC2	510
NODE_A2593_length_546_cov_8.174840_NC2	1114
NODE_A6_length_13151_cov_57.285834_S10	8626
NODE_A174_length_2014_cov_17.645328_S10	1823
NODE_A195_length_1920_cov_14.327727_S10	1348
NODE_A941_length_1131_cov_11.314991_S10	11701
NODE_A1093_length_1077_cov_4.472000_S10	775
NODE_A5785_length_621_cov_6.704044_S10	689
NODE_A7219_length_574_cov_9.028169_S10	508
NODE_A8348_length_544_cov_78.809422_S10	480
NODE_A303_length_1534_cov_29.871654_S12	1022
NODE_A9604_length_560_cov_37.973085_S12	1071
NODE_A9811_length_556_cov_15.058455_S12	1024
NODE_A7_length_3565_cov_112.099771_S15	3394
NODE_B283_length_958_cov_3.309875_S15	591
NODE_A3463_length_503_cov_96.215962_S15	464
NODE_A68_length_3120_cov_676.889911_S16	3404
NODE_B260_length_778_cov_10.081312_S16	1041
NODE_A999_length_616_cov_6.313544_S17	1098
NODE_A2432_length_880_cov_9.434620_S18	577
NODE_A9464_length_613_cov_7.526119_S18	2797
NODE_A11047_length_586_cov_3.141454_S18	460
NODE_B1_length_64575_cov_138.535489_S19	209135
NODE_B17_length_3454_cov_14.052710_S19	7486
NODE_A55_length_2675_cov_30.923788_S19	1967
NODE_B187_length_792_cov_124.485315_S19	2116
NODE_A37_length_4120_cov_357.620826_S20	5236
NODE_C2_length_3895_cov_4.936092_S20	7794
NODE_A91_length_2379_cov_20.665508_S20	3120
NODE_A278_length_1034_cov_545.521421_S20	2282
NODE_A302_length_975_cov_144.404232_S20	828
NODE_B165_length_886_cov_3.883807_S21	597
NODE_A760_length_835_cov_77.175462_S21	532
NODE_A2989_length_527_cov_20.966667_S21	445
NODE_A3_length_21412_cov_74.714554_S23	162926
NODE_B7_length_4755_cov_3.915348_S23	19684
NODE_A1300_length_622_cov_4.506422_S24	1964
NODE_A2046_length_526_cov_3.681514_S24	3161
NODE_A46_length_3884_cov_149.199632_S2	16623
NODE_C16_length_1684_cov_14.721220_S2	5692
NODE_A320_length_1015_cov_3.085288_S2	1125
NODE_A496_length_685_cov_2.146382_S2	505
NODE_B4_length_18996_cov_14.510334_S25	247616
NODE_B5_length_17739_cov_615.067490_S25	1857142
NODE_A46_length_3453_cov_71.112263_S25	5823
NODE_C54_length_1094_cov_16.325467_S25	1335
NODE_A248_length_1022_cov_75.717460_S25	720
NODE_A4_length_2806_cov_29365.524368_S27	9196
NODE_A160_length_1254_cov_276.488530_S28	1882
NODE_B25_length_3329_cov_10.238007_S30	3736
NODE_A511_length_2944_cov_99.553540_S30	2171
