magnitudes	MMG_SW_4
NODE_A2804_length_797_cov_11.305556_S10	14523
NODE_A10_length_3617_cov_26.400000_S1	3527
NODE_B2_length_2621_cov_699.047956_S1	426257
NODE_A117_length_1384_cov_36.801836_S1	30611
NODE_A128_length_1347_cov_68.749606_S1	1119
NODE_A244_length_1033_cov_202.735356_S1	88531
NODE_A286_length_975_cov_24.756125_S1	599
NODE_A294_length_969_cov_57.905830_S1	25122
NODE_A352_length_895_cov_388.638142_S1	40594
NODE_A436_length_833_cov_265.755291_S1	86841
NODE_A494_length_797_cov_1135.662500_S1	10569
NODE_A561_length_751_cov_209.283383_S1	2903
NODE_A582_length_740_cov_37.324284_S1	994
NODE_A652_length_705_cov_57.654459_S1	948
NODE_A679_length_691_cov_22.809446_S1	946
NODE_A1095_length_566_cov_34.235174_S1	342
NODE_A15_length_4994_cov_9189.904007_S17	605997
NODE_B8_length_4011_cov_5.051347_S17	2833
NODE_A43_length_2096_cov_142.252600_S17	5619
NODE_A76_length_1614_cov_43.929083_S17	978
NODE_A192_length_1157_cov_189.795370_S17	3204
NODE_A199_length_1150_cov_991.887232_S17	5424
NODE_A253_length_1064_cov_43.312057_S17	832
NODE_A302_length_994_cov_15.892039_S17	1064
NODE_A372_length_896_cov_35.400488_S17	665
NODE_A524_length_796_cov_33.492350_S17	594
NODE_A569_length_771_cov_18.340058_S17	756
NODE_A666_length_723_cov_21.255418_S17	626
NODE_A900_length_643_cov_56.646643_S17	539
NODE_A926_length_636_cov_48.660107_S17	394
NODE_A1087_length_589_cov_31.357422_S17	678
NODE_A1131_length_578_cov_32.415170_S17	498
NODE_A1184_length_568_cov_49.150713_S17	746
NODE_A1231_length_559_cov_64.029046_S17	1074
NODE_A1261_length_553_cov_40.928571_S17	380
NODE_A1303_length_545_cov_26.008547_S17	395
NODE_C88_length_503_cov_6.723005_S17	1747
NODE_A1585_length_500_cov_55.432624_S17	455
NODE_B187_length_792_cov_124.485315_S19	173876
NODE_A8_length_2894_cov_145.499468_S21	3173
NODE_A57_length_1681_cov_101.055486_S21	1383
NODE_A73_length_1582_cov_63.398671_S21	2380
NODE_A124_length_1405_cov_115.161145_S21	1236
NODE_A162_length_1308_cov_1004.818846_S21	157052
NODE_B47_length_1237_cov_19.400862_S21	29344
NODE_A253_length_1160_cov_156.846722_S21	1103
NODE_A265_length_1149_cov_11.202425_S21	1769
NODE_A324_length_1078_cov_47.036963_S21	838
NODE_A618_length_891_cov_320.457002_S21	759
NODE_A724_length_848_cov_672.041505_S21	8894
NODE_A817_length_819_cov_408.281671_S21	37935
NODE_A950_length_785_cov_800.841808_S21	280228
NODE_A1100_length_749_cov_2161.334821_S21	40218
NODE_A1320_length_705_cov_63.378981_S21	1244
NODE_A2114_length_598_cov_81.798464_S21	821
NODE_A2279_length_581_cov_80.902778_S21	652
NODE_A2976_length_528_cov_40.977827_S21	373
NODE_A3343_length_508_cov_71.450116_S21	723
NODE_B10_length_7015_cov_26.363361_S22	7937
NODE_A562_length_692_cov_14.731707_S23	8207
NODE_A23_length_3205_cov_47.009591_S24	2771
NODE_A129_length_1380_cov_47.116654_S24	1378
NODE_A138_length_1349_cov_83.693396_S24	2179
NODE_A206_length_1148_cov_67.285714_S24	1098
NODE_A320_length_1001_cov_38.922078_S24	945
NODE_A375_length_954_cov_91.954390_S24	1507
NODE_A478_length_876_cov_54.478098_S24	936
NODE_A508_length_858_cov_50.536492_S24	1500
NODE_A540_length_839_cov_45.486877_S24	857
NODE_A559_length_830_cov_39.042497_S24	1050
NODE_A750_length_751_cov_43.074184_S24	451
NODE_A761_length_747_cov_137.786567_S24	1499
NODE_A983_length_691_cov_71.167752_S24	922
NODE_A1046_length_675_cov_279.295987_S24	878
NODE_A1212_length_637_cov_61.076786_S24	886
NODE_A1226_length_634_cov_78.152603_S24	1180
NODE_A1412_length_604_cov_33.223909_S24	431
NODE_A1433_length_599_cov_76.620690_S24	1170
NODE_A1472_length_595_cov_70.083012_S24	485
NODE_A1484_length_594_cov_2237.137331_S24	998
NODE_A1547_length_585_cov_1958.177165_S24	2178
NODE_A1624_length_575_cov_5482.096386_S24	1244
NODE_A1674_length_568_cov_310.529532_S24	1134
NODE_A1680_length_567_cov_62.273469_S24	880
NODE_A2119_length_519_cov_24.298643_S24	561
NODE_A2265_length_506_cov_168.687646_S24	417
NODE_A46_length_3884_cov_149.199632_S2	4770
NODE_A17_length_15349_cov_1246.287323_S25	115026
NODE_A248_length_1022_cov_75.717460_S25	41885
NODE_A549_length_693_cov_12.087662_S25	1529
NODE_A557_length_589_cov_6.904297_S26	3790
NODE_A4_length_2806_cov_29365.524368_S27	1830630
NODE_A1970_length_531_cov_14.887665_S27	2547
NODE_B18_length_1832_cov_8.486040_S37	4825
NODE_A75_length_1575_cov_28.403204_S37	1029
NODE_A103_length_1416_cov_82.906647_S37	3064
NODE_A106_length_1394_cov_505.990888_S37	16985
NODE_B33_length_1378_cov_11.220600_S37	4629
NODE_A113_length_1345_cov_60.792587_S37	1911
NODE_A115_length_1343_cov_46.115324_S37	1645
NODE_A304_length_914_cov_33.726404_S37	685
NODE_A343_length_877_cov_55.455000_S37	1296
NODE_A361_length_860_cov_80.136654_S37	2083
NODE_A376_length_842_cov_35.700654_S37	629
