magnitudes	NC1
NODE_A693_length_627_cov_335.527273_NC1	1993
NODE_B380_length_626_cov_31.566485_NC1	2017
NODE_B655_length_530_cov_12.481236_NC1	1550
NODE_A1347_length_503_cov_64.450704_NC1	452
NODE_B96_length_1135_cov_24.905482_NC2	933
NODE_B409_length_799_cov_19.908587_S28	2114
NODE_A1625_length_636_cov_213.837209_S28	1443
NODE_A948_length_558_cov_4.611227_S29	4919
NODE_A3_length_2358_cov_175.947830_NC1	11716
NODE_A4_length_2300_cov_29.727395_NC1	1758
NODE_A5_length_2179_cov_26.204091_NC1	1521
NODE_B3_length_1980_cov_5.528114_NC1	2801
NODE_A9_length_1969_cov_51.405920_NC1	2737
NODE_A11_length_1923_cov_51.853196_NC1	1701
NODE_A13_length_1846_cov_39.788016_NC1	1788
NODE_A15_length_1781_cov_30.636737_NC1	1095
NODE_A16_length_1778_cov_41.972957_NC1	2196
NODE_A19_length_1695_cov_37.064277_NC1	1883
NODE_A20_length_1652_cov_161.750476_NC1	7796
NODE_A21_length_1636_cov_78.479795_NC1	2804
NODE_A24_length_1618_cov_61.987670_NC1	1842
NODE_A26_length_1574_cov_27.422178_NC1	972
NODE_A27_length_1573_cov_55.196524_NC1	2539
NODE_A28_length_1571_cov_37.000000_NC1	1429
NODE_A29_length_1549_cov_24.517663_NC1	960
NODE_A30_length_1533_cov_29.478022_NC1	1078
NODE_A33_length_1513_cov_27.123955_NC1	1481
NODE_A34_length_1500_cov_29.170063_NC1	1341
NODE_A35_length_1489_cov_52.794618_NC1	2122
NODE_A36_length_1483_cov_48.912518_NC1	1743
NODE_A37_length_1471_cov_141.150646_NC1	5828
NODE_A38_length_1462_cov_47.487365_NC1	1781
NODE_A40_length_1459_cov_114.062229_NC1	4570
NODE_A42_length_1441_cov_45.354106_NC1	1185
NODE_A43_length_1440_cov_26.991196_NC1	932
NODE_A46_length_1386_cov_43.381207_NC1	1767
NODE_A47_length_1363_cov_84.789269_NC1	2618
NODE_A48_length_1352_cov_135.269804_NC1	5175
NODE_A49_length_1339_cov_46.700475_NC1	1422
NODE_A51_length_1329_cov_39.015974_NC1	994
NODE_A54_length_1310_cov_48.124899_NC1	1511
NODE_A55_length_1310_cov_38.728305_NC1	1264
NODE_A56_length_1309_cov_68.232955_NC1	3326
NODE_B23_length_1302_cov_12.453878_NC1	4255
NODE_A57_length_1298_cov_85.553645_NC1	3798
NODE_A60_length_1293_cov_21.710526_NC1	898
NODE_A61_length_1290_cov_45.335532_NC1	1671
NODE_A62_length_1286_cov_60.180314_NC1	2404
NODE_A65_length_1261_cov_23.812500_NC1	953
NODE_A66_length_1259_cov_65.188663_NC1	2306
NODE_A67_length_1258_cov_54.896698_NC1	2564
NODE_A69_length_1249_cov_51.672355_NC1	1499
NODE_B25_length_1249_cov_8.724403_NC1	3429
NODE_A70_length_1244_cov_47.353899_NC1	1539
NODE_B27_length_1225_cov_13.198606_NC1	4643
NODE_A78_length_1220_cov_63.829396_NC1	2435
NODE_A82_length_1210_cov_43.405119_NC1	1083
NODE_A83_length_1208_cov_21.329797_NC1	805
NODE_A85_length_1198_cov_35.750223_NC1	1498
NODE_A86_length_1194_cov_60.429722_NC1	1530
NODE_A88_length_1191_cov_35.763914_NC1	978
