magnitudes	PMG_CF_6
NODE_A1757_length_534_cov_14.929978_S22	635
NODE_A2171_length_555_cov_103.161088_S4	404
NODE_A444_length_1404_cov_5.184627_S10	16105
NODE_A941_length_1131_cov_11.314991_S10	1169
NODE_A950_length_1129_cov_8.316540_S10	62936
NODE_A10_length_3617_cov_26.400000_S1	2486
NODE_B2_length_2621_cov_699.047956_S1	11946
NODE_A68_length_3120_cov_676.889911_S16	2563
NODE_A15_length_4994_cov_9189.904007_S17	15112
NODE_B8_length_4011_cov_5.051347_S17	2454
NODE_A3_length_45619_cov_251.714988_S19	1425181
NODE_B187_length_792_cov_124.485315_S19	4562
NODE_B27_length_5270_cov_7.320046_S20	37809
NODE_B34_length_4025_cov_15.176039_S20	4970
NODE_C2_length_3895_cov_4.936092_S20	4076
NODE_B52_length_2833_cov_8.209361_S20	2038
NODE_B54_length_2709_cov_27.568769_S20	4812
NODE_A212_length_1307_cov_92.869919_S20	989
NODE_C39_length_1280_cov_4.975894_S20	2514
NODE_B10_length_7015_cov_26.363361_S22	4225
NODE_A3_length_21412_cov_74.714554_S23	34906
NODE_B7_length_4755_cov_3.915348_S23	3214
NODE_A46_length_3884_cov_149.199632_S2	4089
NODE_C78_length_785_cov_1.645480_S2	3347
NODE_C86_length_729_cov_2.365031_S2	799
NODE_B286_length_718_cov_2.939158_S2	703
NODE_C119_length_604_cov_1.561670_S2	1518
NODE_B4_length_18996_cov_14.510334_S25	34915
NODE_B5_length_17739_cov_615.067490_S25	339627
NODE_A17_length_15349_cov_1246.287323_S25	30302
NODE_A46_length_3453_cov_71.112263_S25	10225
NODE_B118_length_1465_cov_171.773775_S25	2121
NODE_B1_length_48305_cov_699.897238_S26	6803959
NODE_A2_length_39889_cov_5484.805963_S26	3541009
NODE_A11_length_10812_cov_26.336563_S26	6593
NODE_A34_length_4586_cov_246.226436_S26	9015
NODE_C6_length_4416_cov_3.602673_S26	10896
NODE_A66_length_2665_cov_173.583076_S26	10601
NODE_B38_length_2160_cov_262.644263_S26	129082
NODE_A242_length_1132_cov_76.791469_S26	1093
NODE_B114_length_914_cov_8.101553_S26	1286
NODE_A524_length_616_cov_504.493506_S26	6425
NODE_A4_length_2806_cov_29365.524368_S27	16860
NODE_B25_length_3329_cov_10.238007_S30	3631
NODE_B75_length_1903_cov_5.745345_S30	7819
NODE_A2758_length_1442_cov_64.180220_S30	880
NODE_B364_length_1097_cov_3.920588_S30	23253
NODE_C68_length_613_cov_1.054104_S30	447
NODE_B12_length_6656_cov_72.437301_S32	108869
NODE_A29_length_3746_cov_711.250750_S32	27228
NODE_A31_length_3555_cov_1627.451409_S32	18685
NODE_A50_length_2655_cov_490.545384_S32	64878
NODE_B38_length_2317_cov_17.955357_S32	79181
NODE_C80_length_1161_cov_15.488007_S32	7090
NODE_A488_length_609_cov_22.313910_S32	3915
NODE_A13_length_9134_cov_156.869604_S33	22711
NODE_A10_length_4273_cov_21.369161_S3	3062
NODE_A266_length_2862_cov_65.347935_S38	2195
NODE_A15_length_4855_cov_27.221641_S39	14344
NODE_B3_length_12473_cov_8.996773_S40	777280
NODE_A79_length_1933_cov_10.656250_S40	19816
NODE_A3_length_38619_cov_21.645945_S43	87834
NODE_B9_length_6821_cov_15.918001_S43	61601
NODE_B11_length_4948_cov_10.112913_S43	17979
NODE_A55_length_2779_cov_9.364545_S43	1682
NODE_A235_length_1119_cov_18.617083_S43	1123
NODE_A10_length_4679_cov_70.244024_S44	25448
NODE_B14_length_4245_cov_7.104367_S44	23186
NODE_A47_length_2406_cov_21.644483_S44	4016
NODE_B386_length_510_cov_1.556582_S44	566
NODE_A2_length_29617_cov_204.370379_S45	148829
NODE_B4_length_7232_cov_30.231307_S45	16487
NODE_A10_length_4745_cov_282.483290_S45	4400
NODE_B7_length_3443_cov_18.106061_S45	2757
NODE_B1_length_21906_cov_24.206606_S47	19332
NODE_B19_length_5208_cov_19.729098_S49	15452
NODE_B79_length_1546_cov_302.064670_S49	3254
NODE_B5_length_5275_cov_16.018661_S6	4918
NODE_A4168_length_580_cov_5.085487_S7	517
NODE_B4_length_11953_cov_123.444847_S8	7137
NODE_B8_length_8311_cov_47.404299_S8	55090
NODE_A15_length_7966_cov_760.431233_S8	36116
NODE_C4_length_7184_cov_17.621078_S8	244085
NODE_A19_length_6823_cov_911.523125_S8	5571
NODE_B23_length_4949_cov_72.752463_S8	32249
NODE_A32_length_4230_cov_1897.624127_S8	104675
NODE_C22_length_2471_cov_23.953634_S8	5076
NODE_B61_length_2274_cov_10.475193_S8	24292
NODE_B67_length_2172_cov_80.489737_S8	70674
NODE_A92_length_1858_cov_12.286356_S8	95748
NODE_B102_length_1569_cov_17.355228_S8	1024
NODE_C23_length_602_cov_674.215238_S9	5997
