magnitudes	PMG_SW_5
NODE_A1757_length_534_cov_14.929978_S22	2953
NODE_A1867_length_517_cov_22.622727_S34	989
NODE_A4982_length_519_cov_1.463801_S44	787
NODE_A5050_length_515_cov_23.543379_S44	1751
NODE_A2171_length_555_cov_103.161088_S4	3413
NODE_A22_length_6568_cov_73.571869_S10	4079
NODE_A2117_length_869_cov_10.035354_S10	634
NODE_A2804_length_797_cov_11.305556_S10	1745
NODE_A19_length_1534_cov_14.082361_S11	2499
NODE_B34_length_548_cov_1.709130_S11	469
NODE_B9_length_2604_cov_11.339137_S14	4396
NODE_A1735_length_1047_cov_18.426804_S14	1277
NODE_A2926_length_841_cov_6.738220_S14	1512
NODE_A3858_length_739_cov_35.663142_S14	1150
NODE_A10_length_3617_cov_26.400000_S1	19515
NODE_A14_length_3198_cov_31.929830_S1	4390
NODE_B2_length_2621_cov_699.047956_S1	502973
NODE_A29_length_2583_cov_24.752195_S1	2702
NODE_A38_length_2180_cov_14.941512_S1	1423
NODE_A45_length_2110_cov_9.789966_S1	1555
NODE_A51_length_1946_cov_12.961477_S1	2180
NODE_A56_length_1879_cov_22.759156_S1	4959
NODE_A61_length_1835_cov_40.876564_S1	4520
NODE_A107_length_1442_cov_6.396337_S1	892
NODE_A117_length_1384_cov_36.801836_S1	5992
NODE_A123_length_1367_cov_53.200775_S1	3121
NODE_A125_length_1361_cov_21.324766_S1	931
NODE_A128_length_1347_cov_68.749606_S1	3969
NODE_A144_length_1275_cov_29.756260_S1	934
NODE_A173_length_1190_cov_54.157233_S1	3340
NODE_A210_length_1094_cov_55.186824_S1	1341
NODE_A221_length_1068_cov_54.363269_S1	3390
NODE_A222_length_1065_cov_18.519231_S1	777
NODE_A244_length_1033_cov_202.735356_S1	21228
NODE_A253_length_1026_cov_175.904110_S1	4922
NODE_A259_length_1013_cov_8.674145_S1	590
NODE_A287_length_975_cov_8.298441_S1	642
NODE_A288_length_974_cov_227.031215_S1	3743
NODE_A294_length_969_cov_57.905830_S1	2782
NODE_C8_length_909_cov_4.775240_S1	9113
NODE_A345_length_903_cov_389.578692_S1	4513
NODE_A352_length_895_cov_388.638142_S1	13773
NODE_A427_length_840_cov_24.070773_S1	829
NODE_A436_length_833_cov_265.755291_S1	26788
NODE_A494_length_797_cov_1135.662500_S1	18217
NODE_A518_length_783_cov_13.347025_S1	481
NODE_A524_length_781_cov_13.855114_S1	664
NODE_A561_length_751_cov_209.283383_S1	7033
NODE_A582_length_740_cov_37.324284_S1	753
NODE_A587_length_737_cov_32.101515_S1	433
NODE_A652_length_705_cov_57.654459_S1	1258
NODE_A653_length_705_cov_5.347134_S1	492
NODE_B148_length_657_cov_5.791379_S1	525
NODE_A1251_length_536_cov_12.307190_S1	740
NODE_A14_length_5037_cov_276.344758_S17	11693
NODE_A15_length_4994_cov_9189.904007_S17	698050
NODE_A43_length_2096_cov_142.252600_S17	5343
NODE_A60_length_1817_cov_12.947701_S17	2038
NODE_A76_length_1614_cov_43.929083_S17	1859
NODE_A89_length_1543_cov_40.897681_S17	2748
NODE_A192_length_1157_cov_189.795370_S17	4423
NODE_A204_length_1134_cov_19.892148_S17	935
NODE_A263_length_1049_cov_3.220165_S17	800
NODE_A372_length_896_cov_35.400488_S17	3895
NODE_A505_length_801_cov_2.500000_S17	461
NODE_A661_length_725_cov_6.762346_S17	434
NODE_A944_length_631_cov_2.669675_S17	387
NODE_A1002_length_616_cov_2.615955_S17	411
NODE_A1087_length_589_cov_31.357422_S17	634
NODE_A1131_length_578_cov_32.415170_S17	499
NODE_A1184_length_568_cov_49.150713_S17	1568
NODE_A1231_length_559_cov_64.029046_S17	1187
NODE_A1309_length_545_cov_1.683761_S17	418
NODE_A1479_length_515_cov_406.739726_S17	757
NODE_B187_length_792_cov_124.485315_S19	216001
NODE_A257_length_1091_cov_6.318540_S20	1473
