magnitudes	Swill6_5
NODE_B410_length_755_cov_11.542773_S12	3343
NODE_A5677_length_656_cov_29.331606_S12	4452
NODE_B307_length_998_cov_7.150923_S18	3384
NODE_A4411_length_757_cov_14.969118_S18	947
NODE_A6338_length_686_cov_65.743842_S18	7166
NODE_A8106_length_642_cov_5.003540_S18	913
NODE_A15549_length_527_cov_66.797778_S18	3768
NODE_A4667_length_688_cov_22.438625_S5	1471
NODE_A5463_length_650_cov_23.034904_S5	5058
NODE_A3_length_15615_cov_333.879586_S12	62691
NODE_B1_length_11330_cov_127.593442_S12	248691
NODE_A5_length_9186_cov_28.500494_S12	13016
NODE_A7_length_7861_cov_34.636819_S12	10430
NODE_A9_length_6549_cov_16595.860476_S12	1464742
NODE_C4_length_6321_cov_15.624920_S12	315766
NODE_A10_length_6250_cov_19.312814_S12	4126
NODE_A11_length_6030_cov_18.292626_S12	4325
NODE_A12_length_5781_cov_20.645512_S12	3717
NODE_A14_length_5328_cov_20.384498_S12	4018
NODE_B8_length_5026_cov_73.265306_S12	33209
NODE_A15_length_4844_cov_14.512482_S12	3042
NODE_A16_length_4628_cov_26.348715_S12	3751
NODE_A17_length_4500_cov_17.450147_S12	3235
NODE_A18_length_4313_cov_44.495987_S12	9167
NODE_A21_length_4099_cov_21.902536_S12	4418
NODE_A22_length_4091_cov_24.611858_S12	3743
NODE_A23_length_4051_cov_66.857071_S12	6305
NODE_A27_length_3851_cov_115.055379_S12	9894
NODE_A30_length_3692_cov_36.101798_S12	4973
NODE_B13_length_3256_cov_13.962567_S12	7383
NODE_A39_length_3240_cov_57.073032_S12	4843
NODE_A42_length_3129_cov_37.642529_S12	2196
NODE_A45_length_3059_cov_157.677398_S12	8780
NODE_A46_length_3008_cov_17.247015_S12	1957
NODE_A47_length_2987_cov_36.359107_S12	1964
NODE_A49_length_2960_cov_23.569199_S12	3124
NODE_A51_length_2907_cov_18.912367_S12	2448
NODE_A53_length_2875_cov_16.239457_S12	1816
NODE_A57_length_2818_cov_16.593944_S12	2336
NODE_A59_length_2775_cov_17.494070_S12	2364
NODE_A61_length_2744_cov_21.043120_S12	1696
NODE_A67_length_2584_cov_24.083765_S12	2380
NODE_A69_length_2546_cov_24.678817_S12	1648
NODE_A72_length_2535_cov_157.549634_S12	7692
NODE_B18_length_2456_cov_18.944515_S12	10088
NODE_A78_length_2383_cov_57.672160_S12	2796
NODE_A79_length_2383_cov_31.767997_S12	1925
NODE_A83_length_2366_cov_18.366972_S12	1541
NODE_A84_length_2343_cov_28.861430_S12	2184
NODE_A86_length_2337_cov_25.630973_S12	1563
NODE_A87_length_2331_cov_22.921029_S12	4115
NODE_A90_length_2304_cov_20.553211_S12	1455
NODE_A93_length_2277_cov_29.424545_S12	3492
NODE_A95_length_2227_cov_18.800930_S12	1466
NODE_A100_length_2204_cov_11.864128_S12	2214
NODE_A108_length_2141_cov_21.258721_S12	1845
NODE_A111_length_2111_cov_25.467060_S12	1434
NODE_A119_length_2077_cov_94.359000_S12	5051
NODE_A123_length_2068_cov_9.369663_S12	1435
NODE_A133_length_2026_cov_22.197024_S12	1647
NODE_A134_length_2025_cov_28.492813_S12	1853
NODE_A136_length_2010_cov_19.192447_S12	1327
NODE_A137_length_2007_cov_36.722280_S12	2423
NODE_A138_length_2007_cov_31.741969_S12	2030
NODE_B25_length_1986_cov_11.528549_S12	7234
NODE_B26_length_1973_cov_8.732595_S12	9490
NODE_A142_length_1964_cov_24.765766_S12	1592
NODE_A151_length_1947_cov_13.619786_S12	1849
NODE_B27_length_1938_cov_7.701236_S12	3758
NODE_B30_length_1902_cov_7.827945_S12	2767
NODE_A160_length_1897_cov_23.742857_S12	1326
NODE_A164_length_1866_cov_22.560089_S12	1833
NODE_A178_length_1825_cov_24.908467_S12	1877
NODE_B35_length_1813_cov_9.962558_S12	6641
NODE_C12_length_1813_cov_11.448157_S12	27817
NODE_A185_length_1812_cov_10.494524_S12	1660
NODE_A192_length_1780_cov_16.918379_S12	1303
NODE_A195_length_1775_cov_21.608363_S12	1611
NODE_A203_length_1756_cov_15.646814_S12	1534
NODE_A208_length_1747_cov_30.849701_S12	1107
NODE_A213_length_1739_cov_31.364621_S12	2810
NODE_A215_length_1733_cov_177.129227_S12	4189
NODE_B43_length_1633_cov_5.019280_S12	1726
