magnitudes	WF_CF_4
NODE_A24_length_6280_cov_53.976141_S10	9270
NODE_A26_length_6197_cov_29.412908_S10	5560
NODE_A46_length_4121_cov_29.726508_S10	3621
NODE_A48_length_4103_cov_18.522106_S10	3361
NODE_A50_length_4050_cov_23.035993_S10	4160
NODE_A94_length_2801_cov_13.146109_S10	2226
NODE_A116_length_2495_cov_9.993797_S10	1972
NODE_A145_length_2220_cov_14.801213_S10	2089
NODE_A209_length_1853_cov_16.279279_S10	2330
NODE_A444_length_1404_cov_5.184627_S10	4449
NODE_A941_length_1131_cov_11.314991_S10	2901
NODE_A950_length_1129_cov_8.316540_S10	9419
NODE_B157_length_640_cov_1.310835_S1	1298
NODE_B23_length_3837_cov_11.337766_S16	19962
NODE_A67_length_3149_cov_84.606445_S16	8245
NODE_A68_length_3120_cov_676.889911_S16	27632
NODE_A83_length_2800_cov_57.193904_S16	3634
NODE_A89_length_2677_cov_27.272692_S16	1818
NODE_B8_length_4011_cov_5.051347_S17	3724
NODE_A999_length_616_cov_6.313544_S17	2357
NODE_B1_length_64575_cov_138.535489_S19	1070645
NODE_A3_length_45619_cov_251.714988_S19	1130197
NODE_A24_length_4492_cov_20.686976_S19	13869
NODE_A54_length_2686_cov_150.871215_S19	19366
NODE_B33_length_2586_cov_6.601036_S19	14740
NODE_A139_length_1559_cov_146.941970_S19	1576
NODE_A5_length_18546_cov_100.977313_S20	30033
NODE_B24_length_5416_cov_15.873010_S20	51586
NODE_B27_length_5270_cov_7.320046_S20	7964
NODE_A34_length_4192_cov_346.607047_S20	19448
NODE_A37_length_4120_cov_357.620826_S20	9466
NODE_B34_length_4025_cov_15.176039_S20	9956
NODE_C2_length_3895_cov_4.936092_S20	17120
NODE_B37_length_3872_cov_8.868248_S20	11066
NODE_A42_length_3665_cov_61.397993_S20	6914
NODE_B43_length_3260_cov_23.618599_S20	15430
NODE_A55_length_3151_cov_21.711451_S20	3603
NODE_B52_length_2833_cov_8.209361_S20	3154
NODE_B54_length_2709_cov_27.568769_S20	15154
NODE_A95_length_2322_cov_30.954566_S20	2125
NODE_B72_length_2080_cov_16.048427_S20	9606
NODE_B74_length_2031_cov_7.225691_S20	1827
NODE_A121_length_1913_cov_101.602397_S20	2767
NODE_B83_length_1837_cov_6.729545_S20	1238
