magnitudes	WG_SW_5
NODE_B1_length_11330_cov_127.593442_S12	11629
NODE_A9_length_6549_cov_16595.860476_S12	42747
NODE_A30_length_2043_cov_4249.867752_S13	5346
NODE_B2_length_2621_cov_699.047956_S1	24156
NODE_A14_length_5037_cov_276.344758_S17	11931
NODE_A15_length_4994_cov_9189.904007_S17	29382
NODE_A199_length_1150_cov_991.887232_S17	699
NODE_A1479_length_515_cov_406.739726_S17	667
NODE_B32_length_2332_cov_202.653215_S18	1569
NODE_B187_length_792_cov_124.485315_S19	31448
NODE_A817_length_819_cov_408.281671_S21	747
NODE_A950_length_785_cov_800.841808_S21	1111
NODE_A2_length_41430_cov_179.688269_S23	174998
NODE_A3_length_21412_cov_74.714554_S23	17448
NODE_A1170_length_507_cov_16.065116_S23	522
NODE_A1624_length_575_cov_5482.096386_S24	555
NODE_A3_length_55471_cov_63.532260_S25	830048
NODE_B4_length_18996_cov_14.510334_S25	17543
NODE_A248_length_1022_cov_75.717460_S25	971
NODE_A4_length_2806_cov_29365.524368_S27	99855
NODE_A13899_length_624_cov_2.875686_S30	642
NODE_A14297_length_614_cov_3.214153_S30	1214
NODE_A6_length_15806_cov_1153.172738_S40	11274
NODE_A10_length_4745_cov_282.483290_S45	3275
NODE_A308_length_938_cov_132.658537_S47	909
NODE_C6_length_4216_cov_23.041073_S5	3900
NODE_A2_length_16366_cov_68.635644_S6	7916502
NODE_B5_length_5275_cov_16.018661_S6	4425
NODE_A800_length_873_cov_514.888191_S6	1396
NODE_A51_length_6709_cov_35.169481_S7	32854
NODE_B9_length_3038_cov_16.902736_S7	4201
NODE_A736_length_2072_cov_146.553885_S7	1783
NODE_A1200_length_1348_cov_11.770260_S7	3741
NODE_C23_length_602_cov_674.215238_S9	34979
