magnitudes	WL_CF_5
NODE_A444_length_1404_cov_5.184627_S10	1350
NODE_A941_length_1131_cov_11.314991_S10	15246
NODE_A5785_length_621_cov_6.704044_S10	858
NODE_A1601_length_1087_cov_181.991089_S14	720
NODE_B157_length_640_cov_1.310835_S1	479
NODE_A3_length_53022_cov_200.036698_S16	255063
NODE_A5_length_20763_cov_32.465967_S16	16368
NODE_A10_length_15404_cov_34.388726_S16	9278
NODE_A11_length_14471_cov_89.235515_S16	24258
NODE_A13_length_11174_cov_115.208254_S16	23580
NODE_A16_length_8969_cov_30.228970_S16	6006
NODE_A17_length_8648_cov_39.392720_S16	8353
NODE_A22_length_7329_cov_46.636652_S16	5157
NODE_A29_length_6585_cov_45.903811_S16	7394
NODE_A36_length_5082_cov_28.220380_S16	3342
NODE_A39_length_4751_cov_58.075310_S16	6808
NODE_A41_length_4497_cov_36.820136_S16	3892
NODE_A42_length_4473_cov_28.587352_S16	2993
NODE_A45_length_4187_cov_50.549148_S16	5057
NODE_A50_length_3943_cov_25.286601_S16	2468
NODE_B23_length_3837_cov_11.337766_S16	4035
NODE_A59_length_3484_cov_34.223951_S16	2752
NODE_A67_length_3149_cov_84.606445_S16	2497
NODE_A68_length_3120_cov_676.889911_S16	6880
NODE_A83_length_2800_cov_57.193904_S16	2854
NODE_A89_length_2677_cov_27.272692_S16	1635
NODE_B260_length_778_cov_10.081312_S16	1351
NODE_B8_length_4011_cov_5.051347_S17	4615
NODE_A999_length_616_cov_6.313544_S17	1313
NODE_B1_length_64575_cov_138.535489_S19	5259536
NODE_A3_length_45619_cov_251.714988_S19	140242
NODE_A8_length_16408_cov_27.842998_S19	12105
NODE_A35_length_3602_cov_16.028085_S19	3043
NODE_B17_length_3454_cov_14.052710_S19	8271
NODE_A54_length_2686_cov_150.871215_S19	3648
NODE_A55_length_2675_cov_30.923788_S19	6947
NODE_B33_length_2586_cov_6.601036_S19	2201
NODE_A95_length_2075_cov_17.753754_S19	2206
NODE_A139_length_1559_cov_146.941970_S19	1950
NODE_A37_length_4120_cov_357.620826_S20	4109
NODE_C2_length_3895_cov_4.936092_S20	7005
NODE_A42_length_3665_cov_61.397993_S20	5804
NODE_B52_length_2833_cov_8.209361_S20	3762
NODE_C17_length_1765_cov_2.888626_S20	1458
NODE_A171_length_1563_cov_9.240915_S20	1188
NODE_B10_length_7015_cov_26.363361_S22	22129
NODE_A3_length_21412_cov_74.714554_S23	154945
NODE_B7_length_4755_cov_3.915348_S23	18713
NODE_A23_length_4069_cov_13.006263_S23	3390
NODE_A1300_length_622_cov_4.506422_S24	2131
NODE_A2046_length_526_cov_3.681514_S24	4069
NODE_A46_length_3884_cov_149.199632_S2	17952
NODE_C16_length_1684_cov_14.721220_S2	12582
NODE_B286_length_718_cov_2.939158_S2	1067
NODE_B4_length_18996_cov_14.510334_S25	468350
NODE_B5_length_17739_cov_615.067490_S25	2869731
NODE_A46_length_3453_cov_71.112263_S25	5366
NODE_A66_length_2450_cov_20.956174_S25	1881
NODE_B118_length_1465_cov_171.773775_S25	1387
NODE_C54_length_1094_cov_16.325467_S25	1396
NODE_C86_length_771_cov_7.987032_S25	647
NODE_A503_length_728_cov_707.809524_S25	458
NODE_A34_length_4586_cov_246.226436_S26	3986
NODE_C6_length_4416_cov_3.602673_S26	3741
NODE_C56_length_650_cov_1.513089_S26	674
NODE_A26_length_9796_cov_54.297150_S30	14772
NODE_B25_length_3329_cov_10.238007_S30	5102
NODE_A454_length_3108_cov_50.450346_S30	3616
NODE_A511_length_2944_cov_99.553540_S30	10303
NODE_B84_length_1809_cov_5.096998_S30	2441
NODE_A2758_length_1442_cov_64.180220_S30	2313
NODE_C68_length_613_cov_1.054104_S30	434
NODE_A31_length_3555_cov_1627.451409_S32	24007
NODE_C168_length_639_cov_2.179715_S32	453
NODE_A12_length_9157_cov_60.687996_S33	10807
NODE_A13_length_9134_cov_156.869604_S33	15752
NODE_A15_length_8254_cov_99.276507_S33	10436
NODE_A30_length_4099_cov_533.389110_S33	8671
NODE_B22_length_2847_cov_5.713357_S33	1915
NODE_A10_length_4273_cov_21.369161_S3	4964
NODE_A30_length_1177_cov_9.682727_S3	862
NODE_A17_length_7276_cov_23.443256_S38	7400
NODE_A142_length_3441_cov_30.547265_S38	4745
NODE_A230_length_2952_cov_1214.753043_S38	25521
NODE_A266_length_2862_cov_65.347935_S38	5295
NODE_B21_length_2487_cov_130.466805_S38	20959
NODE_B1180_length_733_cov_11.275915_S38	7576
NODE_A7628_length_730_cov_11.606432_S38	449
NODE_A15_length_4855_cov_27.221641_S39	14010
NODE_A124_length_1325_cov_37.248397_S39	2306
NODE_A238_length_824_cov_18.342704_S39	3332
NODE_A6_length_15806_cov_1153.172738_S40	380435
NODE_A79_length_1933_cov_10.656250_S40	1266
NODE_A41_length_1991_cov_7.110240_S41	4015
NODE_A7_length_11476_cov_24.099746_S42	11562
NODE_A20_length_4708_cov_13.752969_S42	3326
NODE_A51_length_2110_cov_15.900639_S42	2386
NODE_A174_length_909_cov_64.402644_S42	3954
NODE_A183_length_882_cov_11.175155_S42	617
NODE_B9_length_6821_cov_15.918001_S43	35469
NODE_B11_length_4948_cov_10.112913_S43	11066
NODE_A123_length_1801_cov_17.687935_S43	3211
NODE_A200_length_1260_cov_16.743026_S43	3614
NODE_A10_length_4679_cov_70.244024_S44	9546
NODE_B14_length_4245_cov_7.104367_S44	9345
NODE_A47_length_2406_cov_21.644483_S44	5036
NODE_A18_length_2423_cov_29.320119_S4	3658
NODE_A2_length_29617_cov_204.370379_S45	137770
NODE_B4_length_7232_cov_30.231307_S45	25501
NODE_A10_length_4745_cov_282.483290_S45	41372
NODE_B7_length_3443_cov_18.106061_S45	9566
NODE_A121_length_2008_cov_205.500259_S49	1330
NODE_C31_length_1622_cov_1.686731_S49	1051
NODE_B79_length_1546_cov_302.064670_S49	2852
NODE_A485_length_738_cov_6.875946_S49	454
NODE_A2_length_16366_cov_68.635644_S6	852297
NODE_B4_length_6468_cov_13.764669_S6	28128
NODE_B5_length_5275_cov_16.018661_S6	37543
NODE_A18_length_3128_cov_39.531629_S6	2679
NODE_B28_length_4100_cov_419.037037_S8	4520
NODE_B61_length_2274_cov_10.475193_S8	3355
NODE_C33_length_1962_cov_65.005836_S8	9053
NODE_B102_length_1569_cov_17.355228_S8	3848
NODE_A15_length_5070_cov_126.267775_S9	13835
