magnitudes	WL_CF_Small
NODE_A1757_length_534_cov_14.929978_S22	962
NODE_A2171_length_555_cov_103.161088_S4	519
NODE_A444_length_1404_cov_5.184627_S10	900
NODE_A30_length_2043_cov_4249.867752_S13	63852
NODE_B1_length_2920_cov_116.735842_S1	855103
NODE_B2_length_2621_cov_699.047956_S1	345075
NODE_B23_length_3837_cov_11.337766_S16	4126
NODE_A67_length_3149_cov_84.606445_S16	1837
NODE_A68_length_3120_cov_676.889911_S16	9593
NODE_A15_length_4994_cov_9189.904007_S17	368670
NODE_B8_length_4011_cov_5.051347_S17	3612
NODE_B1_length_64575_cov_138.535489_S19	84321
NODE_A54_length_2686_cov_150.871215_S19	5517
NODE_B33_length_2586_cov_6.601036_S19	6789
NODE_A139_length_1559_cov_146.941970_S19	1087
NODE_B187_length_792_cov_124.485315_S19	1116806
NODE_A34_length_4192_cov_346.607047_S20	9851
NODE_C2_length_3895_cov_4.936092_S20	6025
NODE_C17_length_1765_cov_2.888626_S20	2689
NODE_A139_length_1748_cov_568.081987_S20	4526
NODE_B148_length_1044_cov_11.117890_S20	1714
NODE_A278_length_1034_cov_545.521421_S20	4517
NODE_A302_length_975_cov_144.404232_S20	3297
NODE_A413_length_770_cov_237.927850_S20	4183
NODE_A46_length_3884_cov_149.199632_S2	10423
NODE_C16_length_1684_cov_14.721220_S2	2146
NODE_C129_length_586_cov_1.155206_S2	457
NODE_A29_length_8384_cov_45.376430_S25	24429
NODE_B84_length_1901_cov_4.039474_S25	3684
NODE_B100_length_1006_cov_2.438105_S26	1005
NODE_A4_length_2806_cov_29365.524368_S27	2030559
NODE_A26_length_9796_cov_54.297150_S30	8230
NODE_A68_length_6867_cov_56.467010_S30	19787
NODE_B20_length_3532_cov_7.643126_S30	12590
NODE_B25_length_3329_cov_10.238007_S30	3994
NODE_A401_length_3279_cov_91.173954_S30	15178
NODE_A511_length_2944_cov_99.553540_S30	9611
NODE_B84_length_1809_cov_5.096998_S30	2257
NODE_A31_length_3555_cov_1627.451409_S32	2640
NODE_A49_length_2690_cov_48.928052_S33	9194
NODE_A77_length_2098_cov_14.993568_S33	4802
NODE_A266_length_2862_cov_65.347935_S38	8783
NODE_B1180_length_733_cov_11.275915_S38	873
NODE_B135_length_579_cov_0.852590_S40	1066
NODE_A20_length_4708_cov_13.752969_S42	9024
NODE_A51_length_2110_cov_15.900639_S42	3305
NODE_B9_length_6821_cov_15.918001_S43	5828
NODE_B29_length_2230_cov_4.231305_S44	13083
NODE_A18_length_2423_cov_29.320119_S4	9424
NODE_B690_length_526_cov_4.155902_S4	2116
NODE_B4_length_7232_cov_30.231307_S45	4590
NODE_B1_length_21906_cov_24.206606_S47	57426
NODE_A16_length_3945_cov_15.158738_S47	792588
NODE_A145_length_1229_cov_22.995660_S47	5272
NODE_A469_length_800_cov_11.752420_S47	677
NODE_B79_length_1546_cov_302.064670_S49	3061
NODE_C97_length_967_cov_2.582022_S49	1154
NODE_A18_length_3128_cov_39.531629_S6	6549
NODE_A191_length_1442_cov_15.389744_S6	1256
NODE_B9_length_3038_cov_16.902736_S7	9577
NODE_B4_length_11953_cov_123.444847_S8	11027
NODE_B15_length_5822_cov_357.496084_S8	9723
NODE_B28_length_4100_cov_419.037037_S8	11470
NODE_B31_length_3912_cov_103.067275_S8	6242
NODE_A36_length_3825_cov_473.363927_S8	2468
NODE_A40_length_3590_cov_3355.681753_S8	13363
NODE_A71_length_2315_cov_3791.689902_S8	2509
NODE_B61_length_2274_cov_10.475193_S8	2426
NODE_A73_length_2226_cov_440.534667_S8	2143
NODE_C33_length_1962_cov_65.005836_S8	1838
NODE_C23_length_602_cov_674.215238_S9	783421
