magnitudes	WL_SW_5
NODE_A1757_length_534_cov_14.929978_S22	4136
NODE_A1867_length_517_cov_22.622727_S34	3168
NODE_A4982_length_519_cov_1.463801_S44	775
NODE_A5050_length_515_cov_23.543379_S44	8511
NODE_A2171_length_555_cov_103.161088_S4	17886
NODE_A2_length_4908_cov_109.014076_NC3	13301
NODE_A11_length_2834_cov_47.901342_NC3	4973
NODE_A22_length_2363_cov_51.767717_NC3	3465
NODE_A96_length_1472_cov_21.629391_NC3	1815
NODE_B5_length_1405_cov_7.236446_NC3	1840
NODE_A135_length_1283_cov_26.818408_NC3	957
NODE_A197_length_1143_cov_31.692308_NC3	813
NODE_A282_length_1013_cov_92.351496_NC3	2103
NODE_A631_length_797_cov_16.461111_NC3	630
NODE_A2028_length_603_cov_28.961977_NC3	456
NODE_A2777_length_561_cov_13.840909_NC3	388
NODE_A3498_length_531_cov_8.883260_NC3	498
NODE_A19_length_1534_cov_14.082361_S11	7505
NODE_B9_length_2604_cov_11.339137_S14	5303
NODE_A1735_length_1047_cov_18.426804_S14	4236
NODE_A10_length_3617_cov_26.400000_S1	25051
NODE_B2_length_2621_cov_699.047956_S1	244524
NODE_B264_length_514_cov_3.569794_S1	527
NODE_A15_length_4994_cov_9189.904007_S17	250031
NODE_B187_length_792_cov_124.485315_S19	78892
NODE_A257_length_1091_cov_6.318540_S20	1000
NODE_B183_length_871_cov_4.904282_S20	846
NODE_A723_length_526_cov_18.670379_S20	915
NODE_B548_length_647_cov_4.787719_S21	1836
NODE_B576_length_638_cov_1.957219_S21	663
NODE_A3060_length_523_cov_10.410314_S21	1111
NODE_B178_length_798_cov_8.732316_S22	753
NODE_B348_length_606_cov_10.052930_S22	827
NODE_A1378_length_580_cov_7.890656_S22	864
NODE_B539_length_515_cov_6.582192_S22	8536
NODE_B556_length_509_cov_6.122685_S22	4098
NODE_A2014_length_508_cov_27.069606_S22	3651
NODE_A2062_length_505_cov_7.934579_S22	923
NODE_A752_length_751_cov_3.537092_S24	1201
NODE_A1036_length_678_cov_3.081531_S24	964
NODE_A3_length_55471_cov_63.532260_S25	84577
NODE_A17_length_15349_cov_1246.287323_S25	143847
NODE_A178_length_1222_cov_13.122271_S25	2829
NODE_B245_length_537_cov_1.732609_S26	514
NODE_A4_length_2806_cov_29365.524368_S27	136785
NODE_B5_length_1769_cov_33.682624_S27	2662
NODE_B28_length_962_cov_15.966102_S27	1038
NODE_B107_length_661_cov_5.794521_S27	1165
NODE_A1095_length_609_cov_13.546992_S27	689
NODE_A1214_length_594_cov_32.754352_S27	4580
NODE_A1970_length_531_cov_14.887665_S27	2210
NODE_A2041_length_527_cov_14.957778_S27	494
NODE_A2048_length_527_cov_4.900000_S27	6628
NODE_B117_length_1627_cov_38.383226_S30	2236
NODE_B324_length_1146_cov_24.715622_S30	4071
NODE_A5787_length_1020_cov_13.089077_S30	1030
NODE_A10067_length_756_cov_14.103093_S30	2234
NODE_B1851_length_608_cov_3.261770_S30	3545
NODE_B225_length_548_cov_0.738854_S33	1377
NODE_A8_length_4685_cov_73.797092_S34	11178
NODE_A9_length_4547_cov_51.390157_S34	7927
NODE_A15_length_3226_cov_48.914894_S34	4924
NODE_A16_length_2955_cov_26.856845_S34	2616
NODE_A21_length_2678_cov_23.923875_S34	2179
NODE_A22_length_2640_cov_45.970347_S34	3956
NODE_A53_length_1908_cov_36.276898_S34	1988
NODE_A59_length_1834_cov_21.791690_S34	1319
NODE_A102_length_1500_cov_21.699227_S34	1090
NODE_A150_length_1248_cov_28.818958_S34	4341
NODE_A162_length_1216_cov_56.064969_S34	2796
NODE_A291_length_920_cov_26.271649_S34	696
NODE_A311_length_895_cov_20.778729_S34	663
NODE_A347_length_850_cov_8.554981_S34	2187
NODE_A406_length_804_cov_93.691884_S34	918
NODE_A470_length_771_cov_25.489914_S34	500
NODE_B89_length_704_cov_2.194577_S34	1914
NODE_B145_length_553_cov_4.390756_S34	395
NODE_A1566_length_540_cov_18.831533_S34	412
NODE_A255_length_974_cov_6.739130_S37	3251
NODE_A27_length_3481_cov_93.207109_S42	12163
NODE_A299_length_669_cov_13.069257_S42	1137
NODE_B12_length_4427_cov_19.298161_S44	5200
NODE_C25_length_858_cov_6.763124_S44	894
NODE_A1959_length_749_cov_5.059524_S44	1056
NODE_B204_length_660_cov_5.794168_S44	1056
NODE_C49_length_634_cov_9.766607_S44	1620
