NODE	Virus	Class	Order 	Family
NODE_A5_length_36805_cov_220.031638_G_CF_3B	phage	Caudoviricetes	Drexlerviridae	Unclassified
NODE_B1_length_21706_cov_157.715243_Swill6_4	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4_length_27738_cov_872.095875_G_CF_1A	phage	Caudoviricetes	Drexlerviridae	Unclassified
NODE_A2_length_16896_cov_452.561508_Swill6_4	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4_length_37507_cov_285.494443_L_CF_3	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8_length_6848_cov_14972.125388_Swill6_6	eukaryotic_virus	Alsuviricetes	Tymovirales	Betaflexiviridae
NODE_A1_length_20521_cov_1539.432743_Swill6_4	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2_length_136659_cov_173.128121_G_CF_3B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_166265_cov_1418.314590_G_CF_2B	phage	Caudoviricetes	Straboviridae	Unclassified
NODE_A1_length_153837_cov_318.900462_G_CF_3B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B5_length_32563_cov_340.682540_G_CF_3B	phage	Caudoviricetes	Drexlerviridae	Unclassified
NODE_A5_length_27043_cov_74.415338_G_CF_1C	phage	Caudoviricetes	Drexlerviridae	Unclassified
NODE_A6_length_14701_cov_79.109341_MMG_CF_4	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2_length_38577_cov_148.577688_L_CF_1	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_28392_cov_41.877521_HG_CF_6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A5_length_27354_cov_46.081021_HG_CF_6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4_length_32667_cov_60.406229_G_SW_3C	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A9_length_38036_cov_116.787692_G_SW_2A	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A6_length_26807_cov_411.901272_G_SW_1B	phage	Caudoviricetes	Drexlerviridae	Unclassified
NODE_A10_length_24265_cov_174.300232_L_CF_2	phage	Caudoviricetes	Unclassified	Unclassified
