NODE	Virus	Class	Order 	Family
NODE_A6_length_12843_cov_79.207504_S42	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A16_length_5824_cov_8.919958_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_17763_cov_102.609069_S22	phage	Caudoviricetes	Unclassified	Zobellviridae
NODE_A18_length_6969_cov_50.529019_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A97_length_2365_cov_12.365385_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A24_length_4412_cov_28.054210_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A56_length_7172_cov_12.104440_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A13_length_4445_cov_20.907051_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A142_length_2255_cov_8.261249_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_19728_cov_1238.280342_S18	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A49_length_2862_cov_14.140754_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A15_length_5995_cov_11.147009_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A9_length_6549_cov_16595.860476_S12	eukaryotic_virus	Alsuviricetes	Tymovirales	Betaflexiviridae
NODE_A16_length_4705_cov_8.083838_S39	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A32_length_4961_cov_7.306102_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A11_length_7129_cov_88.518151_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_15615_cov_333.879586_S12	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A197_length_4539_cov_6.720753_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A38_length_5012_cov_7.755015_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A40_length_3016_cov_16.349779_S23	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A23_length_7246_cov_13.745292_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4_length_15760_cov_123.519097_S22	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A12_length_7433_cov_26.276781_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B2_length_14082_cov_42.256123_S18	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B5_length_5756_cov_32.280859_S18	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A20_length_2799_cov_8.864438_S41	phage	Caudoviricetes	Unclassified	Schitoviridae
NODE_A20_length_5429_cov_15.249626_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A35_length_3916_cov_5.098203_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_20521_cov_1650.965613_S5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_8776_cov_78.319807_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A52_length_3550_cov_23.718111_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A808_length_2455_cov_9.115643_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1355_length_1976_cov_8.607162_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A29_length_5312_cov_69.530277_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A878_length_2370_cov_8.272569_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A31_length_5522_cov_12.287603_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A9_length_4547_cov_51.390157_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_B1_length_11330_cov_127.593442_S12	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B19_length_5208_cov_19.729098_S49	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A24_length_6280_cov_53.976141_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A26_length_6197_cov_29.412908_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A16_length_3166_cov_17.199417_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A29_length_5644_cov_21.401473_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A89_length_2208_cov_7.544345_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A392_length_3131_cov_12.155534_S7	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A101_length_2054_cov_3.322205_S26	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A4_length_27642_cov_45.304045_S44	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A29_length_3746_cov_711.250750_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A23_length_6450_cov_26.966578_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1280_length_2021_cov_7.269547_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A239_length_4177_cov_29.941220_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A270_length_1570_cov_7.941058_S5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A59_length_7105_cov_27.550655_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8_length_13075_cov_50.433836_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A18_length_8385_cov_23.639263_S16	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A21_length_6564_cov_13.812394_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A14_length_3628_cov_22.940580_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A96_length_1778_cov_10.432687_S6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A154_length_3344_cov_12.141414_S38	phage	Caudoviricetes	Unclassified	Unclassified
